creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Quara Raider,147,181,129,1848,https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738
Quara Looter,147,181,129,1848,https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738
Quara Plunderer,147,181,129,1848,https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738|https://www.hunt-analyser.com/hunt_sessions/55738
True Midnight Asura,105,276,138,414,https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267
True Frost Flower Asura,105,273,138,414,https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267
Hellhound,100,276,105,286,https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267
Silencer,96,149,144,259,https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935
Rot Elemental,95,7,6,161,https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905
Devourer,95,7,6,161,https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905|https://www.hunt-analyser.com/hunt_sessions/50905
True Dawnfire Asura,90,280,88,286,https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267|https://www.hunt-analyser.com/hunt_sessions/49267
