item_id,item,instant,top_buy,fair,shelf,shelf_units,patient,upside,depth_units,n_sell,n_buy,n_sell_red,captured_at
11492,rope belt,5096,4554,4315,5207,316,5097,0.205,3001,37,30,0,2026-09-14 23:37
10299,badger fur,14,4,4,15,9,15,2.75,5094,4,1,7,2026-09-14 23:31
18928,blood tincture in a vial,2399,1850,1406,2418,179,2400,0.72,181,20,5,25,2026-09-14 23:32
9667,boggy dreads,2166,1621,1494,2299,35,2167,0.539,631,19,7,37,2026-09-14 23:32
3607,cheese,59,,,60,50,60,,,1,0,1,2026-09-14 23:09
12600,coal,11,6,5,18,608,12,2.6,7449,11,2,12,2026-09-14 23:32
25696,colourful snail shell,3348,2201,2160,3443,71,3349,0.594,401,8,4,21,2026-09-14 23:32
10272,crab pincers,33,1,1,36,15,34,34.0,1766,3,1,11,2026-09-14 23:33
23507,crystallized anger,398,,,420,753,399,,,10,0,16,2026-09-14 23:33
23511,curious matter,870,,,874,341,871,,,10,0,31,2026-09-14 23:33
25695,dandelion seeds,1748,818,808,1835,223,1749,1.27,514,10,4,2,2026-09-14 23:33
23515,dangerous proto matter,1098,651,608,1297,498,1099,0.939,309,20,3,0,2026-09-14 23:33
6499,demonic essence,999,922,898,1000,1740,1000,0.114,9766,6,5,1,2026-09-14 23:33
3583,dragon ham,69,,,99,2872,70,,,4,0,6,2026-09-14 23:10
25694,fairy wings,193,130,106,194,774,194,0.83,1000,16,2,11,2026-09-14 23:34
3578,fish,3,,,4,2,4,,,1,0,3,2026-09-14 23:10
3111,fishbone,1,,,2,2,2,,,2,0,0,2026-09-14 23:14
25692,fresh fruit,8,,,10,254,9,,,2,0,0,2026-09-14 23:10
23519,frozen lightning,,251,191,,,,,118,0,4,16,2026-09-14 23:34
3592,grapes,9,,,10,96,10,,,1,0,6,2026-09-14 23:10
3582,ham,14,,,15,114,15,,,2,0,6,2026-09-14 23:10
18929,incantation notes,1549,1528,1519,1550,104,1550,0.419,1251,29,4,17,2026-09-14 23:35
23516,instable proto matter,496,221,208,645,232,497,1.837,879,13,4,17,2026-09-14 23:35
5880,iron ore,491,410,403,546,1547,492,0.285,3421,19,9,1,2026-09-14 23:35
3559,leather legs,14,,,15,6,15,,,1,0,0,2026-09-14 23:12
5876,lizard leather,238,150,150,239,303,239,0.593,28,8,1,28,2026-09-14 23:35
17853,lost bracers,1974,1401,1349,1996,2186,1975,0.48,318,8,5,2,2026-09-14 23:35
5878,minotaur leather,97,55,53,118,654,98,1.151,744,9,2,0,2026-09-14 23:35
35596,mouldy powder,,253,251,,,,,519,0,4,27,2026-09-14 23:36
10308,mutated flesh,,113,112,,,,,622,0,3,26,2026-09-14 23:36
21196,necromantic rust,2088,1800,1409,2093,146,2089,0.483,329,18,4,46,2026-09-14 23:36
11476,nettle spit,,8,7,,,,,1113,0,2,8,2026-09-14 23:36
23506,plasma pearls,324,175,151,325,323,325,1.185,1340,11,4,0,2026-09-14 23:36
23520,plasmatic lightning,392,160,152,397,271,393,1.612,276,4,3,4,2026-09-14 23:36
3557,plate legs,,1000,915,,,,,482,0,3,26,2026-09-14 23:12
9640,poisonous slime,48,31,28,50,47,49,0.75,2914,2,3,12,2026-09-14 23:36
11490,quara pincers,,801,356,,,,,0,0,11,5,2026-09-14 23:37
10296,acorn,2327,1952,1853,2599,24,2328,0.403,241,24,5,12,2026-09-14 23:31
9632,ancient stone,1436,,,1445,419,1437,,,9,0,28,2026-09-14 23:31
3447,arrow,2,2,2,3,25215,3,0.5,7131,2,1,1,2026-09-14 23:24
7368,assassin star,14,4,4,16,13589,15,3.0,1685,5,1,7,2026-09-14 23:28
3305,battle hammer,114,112,112,129,20,115,0.071,254,10,1,0,2026-09-14 23:26
11447,battle stone,289,136,128,300,568,290,1.344,836,3,5,1,2026-09-14 23:31
8017,beetroot,8,,,10,389,9,,,10,0,1,2026-09-14 23:09
3147,blank rune,,9,7,,,,,3605,0,5,0,2026-09-14 23:19
17827,bloody dwarven beard,110,82,78,111,288,111,0.423,4587,7,7,0,2026-09-14 23:32
16124,blue crystal splinter,699,385,349,799,99,700,1.117,1371,6,7,19,2026-09-14 23:21
3446,bolt,2,2,1,3,7195,3,2.0,20295,1,2,3,2026-09-14 23:24
10404,bone shoulderplate,408,201,158,409,818,409,1.589,1388,6,7,36,2026-09-14 23:32
3338,bone sword,24,,,25,80,25,,,1,0,9,2026-09-14 23:28
10277,bony tail,,201,183,,,,,4310,0,9,32,2026-09-14 23:32
3350,bow,98,40,40,123,6392,99,2.075,532,8,1,0,2026-09-14 23:28
3354,brass helmet,39,26,26,40,12,40,0.538,309,3,1,2,2026-09-14 23:11
11451,broken crossbow,29,,,30,19,30,,,3,0,5,2026-09-14 23:32
10418,broken halberd,,1411,1404,,,,,531,0,5,8,2026-09-14 23:32
11453,broken helmet,31,11,8,32,17,32,3.0,0,1,3,32,2026-09-14 23:32
17851,broken throwing axe,1474,751,736,1496,1802,1475,1.034,897,4,5,10,2026-09-14 23:32
3056,bronze amulet,29,1,1,30,1,30,29.0,457,1,1,7,2026-09-14 23:02
3602,brown bread,,10,10,,,,,487,0,1,11,2026-09-14 23:09
16123,brown crystal splinter,398,278,263,399,152,399,0.517,972,1,6,0,2026-09-14 23:21
3725,brown mushroom,9,,,11,25401,10,,,3,0,1,2026-09-14 23:09
2917,candlestick,9,,,10,1,10,,,1,0,0,2026-09-14 23:20
3595,carrot,316,,,399,402,317,,,7,0,7,2026-09-14 23:09
3358,chain armor,,15,15,,,,,560,0,1,0,2026-09-14 23:01
3352,chain helmet,24,,,25,1,25,,,1,0,3,2026-09-14 23:11
