id,spawn,hunt_date,duration,party_size,party_comp,min_lvl,max_lvl,xp_h,raw_xp_h,balance_h,has_creature_stats,url
50575,lavas with prey,"Jul 07, 2026 10:44",01:43h,1,ED 173,173,173,3774798,1804181,-185119,1,https://www.hunt-analyser.com/hunt_sessions/50575
49116,gazer sceptre,"Jun 19, 2026 18:37",00:30h,1,ED 180,180,180,3708180,2472120,272654,1,https://www.hunt-analyser.com/hunt_sessions/49116
49117,gazer sceptre,"Jun 19, 2026 15:06",00:35h,1,ED 180,180,180,3586102,1881702,278794,1,https://www.hunt-analyser.com/hunt_sessions/49117
37085,Edron Were cave2,"Sep 23, 2025 12:13",00:24h,1,ED 168,168,168,1173645,766430,13692,0,https://www.hunt-analyser.com/hunt_sessions/37085
37180,Edron Were cave3,"Sep 24, 2025 18:22",00:26h,1,ED 168,168,168,1172106,781412,29633,0,https://www.hunt-analyser.com/hunt_sessions/37180
37608,Edron Werecave with 5 bosses,"Oct 01, 2025 10:57",00:20h,1,ED 172,172,172,1153770,769191,197637,0,https://www.hunt-analyser.com/hunt_sessions/37608
37083,Edron Were cave1,"Sep 23, 2025 10:34",00:34h,1,ED 167,167,167,907515,0,154374,0,https://www.hunt-analyser.com/hunt_sessions/37083
51512,Hero Fortres,"Jul 17, 2026 19:32",00:41h,1,ED 121,121,121,833152,555459,94476,0,https://www.hunt-analyser.com/hunt_sessions/51512
40531,Lizard City,"Nov 30, 2025 10:17",02:01h,1,ED 153,153,153,673620,449081,-26591,0,https://www.hunt-analyser.com/hunt_sessions/40531
41129,Lizards,"Dec 13, 2025 09:43",00:32h,1,ED 117,117,117,153217,102146,-4178,0,https://www.hunt-analyser.com/hunt_sessions/41129
