id,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,loot_h,balance_h,supplies_total,supplies_known,has_creature_stats,event_flag,url
51722,Duo burried cathedral,"Jul 20, 2026 12:07",00:37h,37,2,EK 300+ED 199,199,300,250,6523629,3125691,1262110,437458,508535,1,1,0,https://www.hunt-analyser.com/hunt_sessions/51722
53639,Glooth Tower,"Aug 12, 2026 00:46",00:25h,25,1,EK 270,270,270,270,3387175,2258244,1026130,896296,54097,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53639
51793,Werehyena MS 290+,"Jul 21, 2026 13:51",00:37h,37,1,MS 290,290,290,290,3331157,2220771,666534,463890,124963,1,1,0,https://www.hunt-analyser.com/hunt_sessions/51793
52064,BOOK WORLD,"Jul 25, 2026 05:32",00:53h,53,1,ED 242,242,242,242,5647162,2303858,594240,384268,185475,1,1,0,https://www.hunt-analyser.com/hunt_sessions/52064
53711,Gnomegate Lava Hot Spot,"Aug 12, 2026 19:52",00:25h,25,1,EK 276,276,276,276,2131941,1184419,585235,538396,19516,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53711
53352,Lycanthrope Grounds (Edron),"Aug 08, 2026 20:04",00:15h,15,1,EK 271,271,271,271,2207516,1471680,477892,379412,24620,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53352
53434,Glooth Plains - Surface (Oramond),"Aug 09, 2026 21:39",00:42h,42,1,EK 273,273,273,273,1974337,1316308,306191,233968,50556,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53434
53078,Grim Reaper (Yalahar),"Aug 05, 2026 17:57",00:45h,45,1,EK 270,270,270,270,5397697,2710400,297107,174872,91676,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53078
52736,Hellspawn (Yalahar),"Aug 02, 2026 08:14",00:30h,30,1,EK 267,267,267,267,1683640,1122432,293484,208160,42662,1,1,0,https://www.hunt-analyser.com/hunt_sessions/52736
52082,Behemoth (Cyclopolis),"Jul 25, 2026 12:21",00:30h,30,1,EK 262,262,262,262,1028212,685498,287960,224568,31696,1,1,0,https://www.hunt-analyser.com/hunt_sessions/52082
53745,Grim Reaper (Yalahar),"Aug 12, 2026 23:17",01:00h,60,1,EK 279,279,279,279,7256749,2863850,273241,167481,105760,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53745
53077,Werehayena hunt,"Aug 02, 2026 21:09",00:59h,59,1,RP 223,223,223,223,1487123,0,231784,43274,185368,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53077
53399,STONFIN 0908,"Aug 09, 2026 16:06",00:46h,46,1,ED 229,229,229,229,521259,347509,207196,169703,28744,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53399
53326,Hellspawn (Yalahar),"Aug 08, 2026 10:33",00:47h,47,1,EK 270,270,270,270,1671358,1114242,177074,93012,65848,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53326
53327,Sea serpent (Svargrond),"Aug 08, 2026 11:45",00:50h,50,1,EK 270,270,270,270,1684045,1122697,163787,132138,26374,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53327
