spawn,item,item_id,instant,fair,patient,price_date,n_sessions_spawn,creatures
Crypt Warrior,bones,22159,,,,,2,Crypt Warrior
Crypt Warrior,pelvis bones,11481,84,11,85,2026-09-14 21:36,2,Crypt Warrior
Crypt Warrior,platinum coins,,,,,,2,Crypt Warrior
Crypt Warrior,soul orbs,5944,29,20,30,2026-09-14 21:24,2,Crypt Warrior
Crypt Warrior,unholy bones,10316,,289,,2026-09-14 21:38,2,Crypt Warrior
Crypt Warrior,white mushrooms,3723,4,3,5,2026-09-14 21:10,2,Crypt Warrior
Edron Vampire Crypts,bones,22159,,,,,1,Bonebeast
Edron Vampire Crypts,bony tails,10277,,183,,2026-09-14 21:32,1,Bonebeast
Edron Vampire Crypts,books of necromantic rituals,,,,,,1,Necromancer
Edron Vampire Crypts,demonic skeletal hands,9647,78,51,79,2026-09-14 21:33,1,Demon Skeleton
Edron Vampire Crypts,gold coins,,,,,,1,Bonebeast|Demon Skeleton|Necromancer|Vampire|Vampire Bride|Vampire Viscount
Edron Vampire Crypts,platinum coins,,,,,,1,Vampire Bride
Edron Vampire Crypts,poison arrows,3448,,1,,2026-09-14 21:24,1,Necromancer
Edron Vampire Crypts,skulls,3114,,1,,2026-09-14 21:17,1,Bonebeast
Edron Vampire Crypts,strong mana potions,237,116,100,117,2026-09-14 21:18,1,Vampire Bride
Edron Vampire Crypts,throwing stars,3287,95,,96,2026-09-14 21:28,1,Demon Skeleton
Edron Vampire Crypts,vampire teeth,9685,491,300,492,2026-09-14 21:38,1,Vampire Bride
Port Hope Spider Cave,gold coins,,,,,,2,Giant Spider|Tarantula
Port Hope Spider Cave,plate armors,3357,348,112,349,2026-09-14 21:02,2,Giant Spider
Port Hope Spider Cave,poison arrows,3448,,1,,2026-09-14 21:24,2,Giant Spider
Port Hope Spider Cave,tarantula eggs,10281,,90,,2026-09-14 21:38,2,Tarantula
Port Hope Water Elementals (South),fish,3578,3,,4,2026-09-14 21:10,1,Water Elemental
Port Hope Water Elementals (South),gold coins,,,,,,1,Quara Mantassin Scout|Water Elemental
Port Hope Water Elementals (South),platinum coins,,,,,,1,Water Elemental
Port Hope Water Elementals (South),strong health potions,236,10,4,11,2026-09-14 21:18,1,Water Elemental
