spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
40 min hyeans -2 south,Werehyaena,629.4,1,209,131542,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
40 min hyeans -2 south,Werehyaena Shaman,264.5,1,209,55278,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Asura (Mirror),Dawnfire Asura,379.0,1,426,161454,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura (Mirror),Midnight Asura,363.0,1,426,154638,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura (Mirror),Frost Flower Asura,112.0,1,426,47712,demonic essence|898||peacock feather fans|208||soul orbs|20||assassin stars|4|
Asura (Mirror),Hellspawn,128.0,1,225,28800,hellspawn tails|265||great health potions|—||gold coins|—|
Asura (Mirror),Nomad,1.0,1,1400,1400,gold coins|—|
Asura Mirror,Dawnfire Asura,640.9,2,426,273043,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura Mirror,Midnight Asura,581.2,2,426,247573,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura Mirror,Frost Flower Asura,117.1,2,426,49886,demonic essence|898||peacock feather fans|208||soul orbs|20||assassin stars|4|
Asura Mirror,Hellspawn,205.3,2,225,46184,hellspawn tails|265||great health potions|—||gold coins|—|
Asura Mirror,True Dawnfire Asura,1.3,1,1382,1745,
Asura Mirror,Crocodile,0.3,1,1297,409,pieces of crocodile leather|—||ham|—||gold coins|—|
BOOK WORLD,Lion Hydra,443.8,1,231,102511,platinum coins|—||gold coins|—|
BOOK WORLD,Bluebeak,413.2,1,231,95450,platinum coins|—||gold coins|—|
Banuta -4,Medusa,97.5,1,1819,177352,ultimate health potions|91||great mana potions|32||strands of medusa hair|—||platinum coins|—|
Banuta -4,Souleater,94.8,1,1819,172480,lizard essences|191||platinum coins|—||gold coins|—|
Banuta -4,Eternal Guardian,72.3,1,1819,131552,spiked iron balls|51||small stones|5||platinum coins|—||gold coins|—|
Banuta -4,Hydra,44.5,1,1819,80880,hydra heads|442||platinum coins|—||ham|—||gold coins|—|
Banuta -4,Serpent Spawn,69.6,1,341,23748,small sapphires|214||snake skins|205||green mushrooms|88||gold coins|—|
Banuta -4,Terrified Elephant,5.4,1,1819,9744,
Banuta -4,Scarab,3.2,1,1819,5846,meat|—||gold coins|—|
Banuta -4,Ancient Scarab,2.1,1,1819,3897,magic light wands|—||gold coins|—|
Banuta -4,Werelion,13.4,1,222,2973,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Banuta -4,Larva,1.6,1,1819,2923,gold coins and meat |—|
Banuta -4,Werelioness,12.3,1,222,2735,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
