spawn,profit_computed_h,coverage,n_sessions,measured_loot_h,valued,missing
True asuras,4136406,1.0,9,3813291,Crocodile 1/h×2594;Dawnfire Asura 1/h×853;Hellhound 165/h×2764;Hellspawn 2/h×338;Hyaena 14/h×1384;Nomad 1/h×2801;True Dawnfire Asura 539/h×2764;True Frost Flower Asura 143/h×2594;True Midnight Asura 649/h×2764,
North Roshamuul (South - SOLO RP),3085432,1.0,1,5256546,Choking Fear 700/h×1532;Frazzlemaw 300/h×1490;Retching Horror 746/h×1532;Silencer 284/h×1490,
Roshamuul DP,2973577,1.0,3,2865829,Choking Fear 728/h×1532;Frazzlemaw 263/h×1490;Retching Horror 675/h×1532;Silencer 291/h×1490,
West Roshamuul (SOLO RP),2486941,1.0,1,2425371,Frazzlemaw 748/h×1490;Guzzlemaw 342/h×1459;Retching Horror 1/h×1532;Sight of Surrender 1/h×1490;Silencer 583/h×1490,
Upper Roshamuul,2412226,1.0,1,2433468,Choking Fear 561/h×1532;Frazzlemaw 266/h×1490;Retching Horror 554/h×1532;Silencer 206/h×1490,
Caminho de Ferumbras,2334000,1.0,1,2620800,Demon 320/h×1804;Grimeleech 256/h×2940;Hellflayer 64/h×2940;Vexclaw 289/h×2820,
Feru way,2331746,1.0,1,2702619,Demon 297/h×1804;Grimeleech 263/h×2940;Hellflayer 86/h×2940;Vexclaw 272/h×2820,
❄️ Iceplume Strider – Bounty Hunt,2196749,1.0,1,2532536,Iceplume Strider 352/h×1587;Silverfrost Sentinel 376/h×1587;True Frost Flower Asura 318/h×2594;True Midnight Asura 79/h×2764,
Roshamuul West,2183739,1.0,2,2127078,Frazzlemaw 664/h×1490;Guzzlemaw 306/h×1459;Sight of Surrender 2/h×1490;Silencer 500/h×1490,
❄️ Iceplume Strider – Test Hunt,2037636,1.0,1,1699935,Iceplume Strider 369/h×1587;Silverfrost Sentinel 375/h×1587;True Frost Flower Asura 276/h×2594;True Midnight Asura 51/h×2764,
cobra bastion,1593708,1.0,1,1594417,Cobra Assassin 516/h×1583;Cobra Scout 318/h×1583;Cobra Vizier 173/h×1583,
Banuta -4,1249359,1.0,1,1580618,Ancient Scarab 2/h×3638;Bat 3/h×139;Bear 1/h×3638;Bonebeast 2/h×36;Centipede 1/h×3638;Eternal Guardian 72/h×3638;Frost Troll 1/h×3638;Gorgo 1/h×3638;Hyaena 1/h×1384;Hydra 44/h×3638,
Quaras Podzilla,1246463,1.0,3,2374711,Quara Looter 495/h×841;Quara Plunderer 330/h×841;Quara Raider 657/h×841,
Asura Mirror,1216036,1.0,2,1096374,Crocodile 0/h×2594;Dawnfire Asura 641/h×853;Frost Flower Asura 117/h×853;Hellspawn 205/h×338;Midnight Asura 581/h×853;True Dawnfire Asura 1/h×2764,
Podzilla Quaras,1029117,1.0,5,2428654,Quara Looter 358/h×841;Quara Plunderer 290/h×841;Quara Raider 575/h×841,
demons goroma 30m,889296,1.0,1,733009,Demon 144/h×1804;Demon Skeleton 126/h×1055;Dragon Lord 69/h×333;Fire Elemental 334/h×1241;Hellhound 21/h×2764,
Weretiger -2,844008,1.0,1,1437871,Cunning Werepanther 605/h×697;Weretiger 394/h×697;White Weretiger 221/h×670,
Teste 1 Quara Podizilla,827544,1.0,1,1467950,Quara Looter 300/h×841;Quara Plunderer 232/h×841;Quara Raider 452/h×841,
Teste 2 Quara Podizilla,825494,1.0,1,1452054,Quara Looter 321/h×841;Quara Plunderer 233/h×841;Quara Raider 428/h×841,
Medusa Tower,792371,1.0,1,498302,Behemoth 155/h×274;Clay Guardian 117/h×683;Gargoyle 6/h×683;Medusa 122/h×3638;Omnivora 115/h×683;Serpent Spawn 212/h×683;Stone Golem 3/h×101,
