spawn,profit_computed_h,coverage,n_sessions,measured_loot_h,valued,missing
Medusa tower,105069,1.0,1,913643,Behemoth 237/h×54;Clay Guardian 83/h×75;Medusa 179/h×168;Omnivora 124/h×75;Serpent Spawn 278/h×168,
Gnomegate Lava Hot Spot,57974,1.0,1,585235,Dragon Lord 168/h×66;Massive Fire Elemental 283/h×66;Vulcongra 427/h×66,
Lycanthrope Grounds (Edron),47248,1.0,1,477892,Bloodback 4/h×55;Werebadger 276/h×55;Werebear 52/h×54;Wereboar 176/h×55;Werefox 352/h×55,
Glooth Tower,36451,1.0,1,1026130,Blood Beast 2/h×8;Devourer 266/h×8;Glooth Golem 341/h×43;Quara Constrictor Scout 7/h×8;Quara Hydromancer Scout 7/h×8;Quara Pincher Scout 5/h×8;Quara Predator Scout 5/h×8;Rot Elemental 187/h×8;Rustheap Golem 418/h×43,
Grim Reaper (Yalahar),30320,1.0,2,285174,Grim Reaper 505/h×60,
Hellspawn (Yalahar),26945,1.0,2,235279,Gozzler 9/h×67;Hellspawn 359/h×67;Plaguesmith 53/h×43,
Werehayena hunt,22887,1.0,1,231784,Werehyaena 241/h×62;Werehyaena Shaman 128/h×62,
STONFIN 0908,19830,1.0,1,207196,Bat 13/h×27;Corym Charlatan 9/h×27;Corym Skirmisher 5/h×27;Feverish Citizen 5/h×27;Marsh Stalker 5/h×27;Snake 5/h×16;Stonerefiner 681/h×27;Swampling 3/h×27;Tarantula 17/h×16,
Sea serpent (Svargrond),16339,1.0,1,163787,Sea Serpent 318/h×23;Young Sea Serpent 392/h×23,
Glooth Plains - Surface (Oramond),10862,1.0,1,306191,Blood Beast 157/h×8;Devourer 233/h×8;Glooth Blob 497/h×7;Rot Elemental 533/h×8,
