spawn,n_hunts,median_xp_h,max_xp_h,median_profit_h,max_profit_h,min_lvl_seen,max_lvl_seen,sample_url
Duo burried cathedral,1,6523629,6523629,437458,437458,250,250,https://www.hunt-analyser.com/hunt_sessions/51722
Grim Reaper (Yalahar),2,6327223,7256749,171176,174872,270,279,https://www.hunt-analyser.com/hunt_sessions/53745
BOOK WORLD,1,5647162,5647162,384268,384268,242,242,https://www.hunt-analyser.com/hunt_sessions/52064
Glooth Tower,1,3387175,3387175,896296,896296,270,270,https://www.hunt-analyser.com/hunt_sessions/53639
Werehyena MS 290+,1,3331157,3331157,463890,463890,290,290,https://www.hunt-analyser.com/hunt_sessions/51793
Medusa Tower,1,2352645,2352645,245824,245824,265,265,https://www.hunt-analyser.com/hunt_sessions/53187
Lycanthrope Grounds (Edron),1,2207516,2207516,379412,379412,271,271,https://www.hunt-analyser.com/hunt_sessions/53352
Gnomegate Lava Hot Spot,1,2131941,2131941,538396,538396,276,276,https://www.hunt-analyser.com/hunt_sessions/53711
Glooth Plains - Surface (Oramond),1,1974337,1974337,233968,233968,273,273,https://www.hunt-analyser.com/hunt_sessions/53434
Sea serpent (Svargrond),1,1684045,1684045,132138,132138,270,270,https://www.hunt-analyser.com/hunt_sessions/53327
Hellspawn (Yalahar),2,1677499,1683640,150586,208160,267,270,https://www.hunt-analyser.com/hunt_sessions/52736
Werehayena hunt,1,1487123,1487123,43274,43274,223,223,https://www.hunt-analyser.com/hunt_sessions/53077
Behemoth (Cyclopolis),1,1028212,1028212,224568,224568,262,262,https://www.hunt-analyser.com/hunt_sessions/52082
"Duo buried -2 ED, EK",1,668253,668253,389827,389827,248,248,https://www.hunt-analyser.com/hunt_sessions/51574
STONFIN 0908,1,521259,521259,169703,169703,229,229,https://www.hunt-analyser.com/hunt_sessions/53399
