id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,xp_h,raw_xp_h,balance_h,query_min,query_max,query_party,query_search
24692,https://www.hunt-analyser.com/hunt_sessions/24692,Cults yalahar,"Feb 17, 2025 08:24",01:08h,68,1,ED 95,95,95,95,1,332790,0,192348,293638,0,169718,0,0,,cults
2884,https://www.hunt-analyser.com/hunt_sessions/2884,Nightmare Scion Task,"May 30, 2024 15:38",00:53h,53,1,RP 90,90,90,90,1,890928,593953,-19045,1008597,672399,-21561,50,100,Solo,
29463,https://www.hunt-analyser.com/hunt_sessions/29463,Monk Hunt #7 Middle Spike,"May 02, 2025 20:03",01:34h,94,1,EM 53,53,53,53,1,1689090,563030,-91873,1078142,359380,-58643,50,100,Solo,
29500,https://www.hunt-analyser.com/hunt_sessions/29500,Monk Hunt #8 Middle Spike,"May 03, 2025 11:32",01:03h,63,1,EM 64,64,64,64,1,1799686,487047,-64367,1713986,463854,-61302,50,100,Solo,
29576,https://www.hunt-analyser.com/hunt_sessions/29576,Monk Hunt #9 Middle Spike,"May 04, 2025 13:55",00:44h,44,1,EM 74,74,74,74,1,1397340,465780,-56842,1905463,635154,-77512,50,100,Solo,
29641,https://www.hunt-analyser.com/hunt_sessions/29641,Monk Hunt #10 Last Middle Spike Hunt :(,"May 05, 2025 17:31",00:30h,30,1,EM 79,79,79,79,1,555502,370335,-30887,1111004,740670,-61774,50,100,Solo,
29651,https://www.hunt-analyser.com/hunt_sessions/29651,Monk Hunt #11,"May 05, 2025 21:46",00:20h,20,1,EM 81,81,81,81,1,404672,269782,4222,1214016,809346,12666,50,100,Solo,
29679,https://www.hunt-analyser.com/hunt_sessions/29679,Monk Hunt #12 Feyrist Dark Cave,"May 06, 2025 16:42",00:31h,31,1,EM 88,88,88,88,1,564285,376190,21272,1092164,728109,41171,50,100,Solo,
29732,https://www.hunt-analyser.com/hunt_sessions/29732,Monk Hunt #13,"May 07, 2025 17:16",00:31h,31,1,EM 92,92,92,92,1,1183053,542805,-39815,2289780,1050590,-77062,50,100,Solo,
29859,https://www.hunt-analyser.com/hunt_sessions/29859,Monk Hunt #14 Feyrist Dark Creatures,"May 10, 2025 21:52",00:33h,33,1,EM 96,96,96,96,1,767254,511504,11560,1395007,930007,21018,50,100,Solo,
30000,https://www.hunt-analyser.com/hunt_sessions/30000,Monk Hunt #15 Feyrist Dark Creatures,"May 13, 2025 21:10",01:15h,75,1,EM 98,98,98,98,1,1821030,1214020,81587,1456824,971216,65269,50,100,Solo,
36270,https://www.hunt-analyser.com/hunt_sessions/36270,MoTA - Fury lvl 48,"Sep 06, 2025 12:07",00:50h,50,1,ED 63,63,63,63,1,817807,0,47589,981368,0,57106,50,100,Solo,
36271,https://www.hunt-analyser.com/hunt_sessions/36271,Ancient Scarabs - Ankrahmun lvl 55,"Sep 07, 2025 00:41",01:17h,77,1,ED 63,63,63,63,1,1157895,0,-71664,902255,0,-55843,50,100,Solo,
52279,https://www.hunt-analyser.com/hunt_sessions/52279,Crypt Warrior,"Jul 28, 2026 09:45",00:28h,28,1,,,,75,1,3942178,2628120,317916,8447524,5631685,681248,50,100,Solo,
52560,https://www.hunt-analyser.com/hunt_sessions/52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",00:37h,37,1,EM 82,82,82,82,1,199439,132984,13256,323414,215649,21496,0,0,,vampire
52572,https://www.hunt-analyser.com/hunt_sessions/52572,Port Hope Spider Cave,"Jul 31, 2026 15:40",01:00h,60,1,EM 82,82,82,82,1,376290,250860,11549,376290,250860,11549,50,100,Solo,
