hunt_id,slot,name,voc,level
24692,1,Ed Reiss,ED,95
36270,1,Xiolones,ED,63
36271,1,Xiolones,ED,63
28952,1,Richard Druid,ED,171
37083,1,Skra Firadixo,ED,167
37085,1,Skra Firadixo,ED,168
37180,1,Skra Firadixo,ED,168
37608,1,Skra Firadixo,ED,172
40531,1,Frodo Rodolfo,ED,153
41129,1,Klaifiso,ED,117
49116,1,Pimentao com calabresa,ED,180
49117,1,Pimentao com calabresa,ED,180
50575,1,Tecurastu,ED,173
51512,1,Sana Vid,ED,121
9088,1,Vladimir Nosferatu,ED,165
33345,1,Mana Express,ED,218
44304,1,Aaron Wynter,ED,287
48842,1,Dhuy Sio,ED,232
48885,1,Dhuy Sio,ED,233
48969,1,Invocador Cruel,ED,216
49093,1,Invocador Cruel,ED,217
52064,1,Kenddora,ED,242
53399,1,Elder Nobeki,ED,229
15712,1,Guerreiro de Xango,EK,211
15712,2,Bombita Belica Uno,ED,234
27422,1,Lorehald Night Magic,ED,145
27422,2,Arkainne,RP,148
28760,1,Sile Exale,EM,70
28760,2,Krol Arogancji,EK,92
28862,1,Sile Exale,EM,79
28862,2,Krol Arogancji,EK,98
29403,1,Bonk Lee,EM,178
29403,2,Alaju acvar,MS,135
29650,1,Rezo Senpai,EM,81
29650,2,Latexity,EK,68
29958,1,Tranquillino Calmitto,EM,174
29958,2,Nightbritish,EK,176
30098,1,Tranquillino Calmitto,EM,179
30098,2,Nightbritish,EK,185
30100,1,Tranquillino Calmitto,EM,179
30100,2,Nightbritish,EK,185
30102,1,Tranquillino Calmitto,EM,179
30102,2,Nightbritish,EK,185
30187,1,Tranquillino Calmitto,EM,188
30187,2,Nightbritish,EK,191
30238,1,Tranquillino Calmitto,EM,194
30238,2,Nightbritish,EK,197
30341,1,Speak the Truth,EK,272
30341,2,Craziee,RP,238
30509,1,Tranquillino Calmitto,EM,213
30509,2,Babii Bloom,EK,234
30584,1,Tranquillino Calmitto,EM,218
30584,2,Nightbritish,EK,212
30601,1,Tranquillino Calmitto,EM,221
30601,2,Babii Bloom,EK,236
30631,1,Tranquillino Calmitto,EM,223
30631,2,Nightbritish,EK,217
37309,1,Axes of Venebra,EK,220
37309,2,Tio siodinho,EM,161
40102,1,Sumw,EK,225
40102,2,Skra Firadixo,ED,227
40339,1,Kattox,RP,55
40339,2,Mega Panther,MS,56
41127,1,Aley Gwen,EK,253
41127,2,Squirrobby,EM,274
46448,1,Alzaher,ED,296
46448,2,Koot Spirit,EK,231
46748,1,Frostituto,ED,165
46748,2,Wuukas,EM,167
4921,1,Cigaro Druid,ED,206
4921,2,Khaia Galawyn,EK,208
4922,1,Cigaro Druid,ED,206
4922,2,Khaia Galawyn,EK,208
51574,1,Herus Cael,EK,298
51574,2,Rinoa Heatilly,ED,198
51722,1,Herus Cael,EK,300
51722,2,Rinoa Heatilly,ED,199
