id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,supplies_total,loot_total,supplies_known,xp_h,raw_xp_h,balance_h,loot_h,query_min,query_max,query_party,query_search
29403,https://www.hunt-analyser.com/hunt_sessions/29403,medusa tower,"May 01, 2025 12:59",01:07h,67,2,EM 178+MS 135,135,178,156,1,1819412,1213120,-290515,617865,327350,1,1629324,1086376,-260163,293149.0,0,0,,medusa
29958,https://www.hunt-analyser.com/hunt_sessions/29958,MEDUSA TOWER X2 EM+EK,"May 12, 2025 17:25",01:31h,91,2,EM 174+EK 176,174,176,175,1,2505722,1670703,255971,365427,621398,1,1652124,1101562,168772,409713.0,0,0,,medusa
32941,https://www.hunt-analyser.com/hunt_sessions/32941,Medusa Tower,"Jul 16, 2025 23:00",00:50h,50,1,EK 352,352,352,352,1,3278850,2185901,273171,249300,522471,1,3934620,2623081,327805,626965.0,0,0,,medusa
33144,https://www.hunt-analyser.com/hunt_sessions/33144,Medusa Tower,"Jul 19, 2025 16:30",00:40h,40,1,EK 358,358,358,358,1,2639445,1759632,251148,178108,429256,1,3959167,2639448,376722,643884.0,0,0,,medusa
33222,https://www.hunt-analyser.com/hunt_sessions/33222,Medusa Tower,"Jul 20, 2025 22:53",01:00h,60,1,EK 362,362,362,362,1,4018034,2678690,439362,257868,697230,1,4018034,2678690,439362,697230.0,0,0,,medusa
33445,https://www.hunt-analyser.com/hunt_sessions/33445,2. Hydra Medusa Serpent Spawn Deep Banuta,"Jul 24, 2025 17:09",00:42h,42,1,EM 182,182,182,182,1,1197112,798075,60469,184298,244767,1,1710160,1140107,86384,349667.0,0,0,,medusa
34016,https://www.hunt-analyser.com/hunt_sessions/34016,goroma medusa & serpent spawn,"Aug 03, 2025 10:42",01:23h,83,0,,,,,1,872773,0,16394,0,16394,0,630920,0,11851,11851.0,0,0,,medusa
40956,https://www.hunt-analyser.com/hunt_sessions/40956,Medusa Tower - RP 229 (150%),"Dec 09, 2025 16:04",00:31h,31,1,RP 228,228,228,228,1,1518331,0,44256,151363,195619,1,2938705,0,85656,378617.0,0,0,,medusa
42429,https://www.hunt-analyser.com/hunt_sessions/42429,Deep Banuta -8,"Jan 14, 2026 00:23",00:38h,38,0,,,,,1,2041545,1361030,278083,0,278083,0,3223492,2148994,439078,439078.0,0,0,,medusa
51555,https://www.hunt-analyser.com/hunt_sessions/51555,Medusa Tower,"Jul 18, 2026 10:39",00:38h,38,1,ED 407,407,407,407,1,1577974,1051983,275617,39974,315591,1,2491537,1661025,435184,498302.0,0,0,,medusa
53187,https://www.hunt-analyser.com/hunt_sessions/53187,Medusa Tower,"Aug 07, 2026 00:20",00:41h,41,1,EK 265,265,265,265,1,1607641,1071760,167980,78322,246302,1,2352645,1568429,245824,360442.0,0,0,,medusa
10194,https://www.hunt-analyser.com/hunt_sessions/10194,Roshamuul Depot,"Nov 20, 2024 04:39",01:13h,73,1,EK 591,591,591,591,1,4765314,4381654,763930,515115,1279045,1,3916696,3601359,627887,1051270.0,0,0,,roshamuul
10335,https://www.hunt-analyser.com/hunt_sessions/10335,RP Solo Roshamuul After Bones,"Nov 21, 2024 17:29",00:49h,49,1,RP 567,567,567,567,1,6716263,3480591,368044,491425,859469,1,8223995,4261948,450666,1052411.0,0,0,,roshamuul
10750,https://www.hunt-analyser.com/hunt_sessions/10750,RP Solo Roshamuul After Bones,"Nov 26, 2024 18:05",00:34h,34,1,RP 568,568,568,568,1,3832960,2555308,313981,316198,630179,1,6764047,4509367,554084,1112081.0,0,0,,roshamuul
27570,https://www.hunt-analyser.com/hunt_sessions/27570,Roshamuul Mines - Terrorsleep,"Mar 21, 2025 23:38",00:22h,22,1,RP 33,33,33,33,1,22,1,693,132,825,1,60,2,1890,2250.0,0,0,,roshamuul
30008,https://www.hunt-analyser.com/hunt_sessions/30008,Roshamuul Mines 1,"May 14, 2025 01:11",01:00h,60,1,RP 466,466,466,466,1,3849095,2253999,208385,445466,653851,1,3849095,2253999,208385,653851.0,0,0,,roshamuul
30104,https://www.hunt-analyser.com/hunt_sessions/30104,Roshamuul Mines 2,"May 16, 2025 00:23",01:00h,60,1,RP 467,467,467,467,1,6267634,2785552,348337,433316,781653,1,6267634,2785552,348337,781653.0,0,0,,roshamuul
32687,https://www.hunt-analyser.com/hunt_sessions/32687,roshamuul con familiar,"Jul 12, 2025 10:25",00:22h,22,0,,,,,1,124440,0,2499,0,2499,0,339381,0,6815,6815.0,0,0,,roshamuul
32826,https://www.hunt-analyser.com/hunt_sessions/32826,Roshamuul west,"Jul 15, 2025 20:54",01:01h,61,1,RP 818,818,818,818,1,11617061,6778791,1108084,514656,1622740,1,11426617,6667663,1089918,1596138.0,0,0,,roshamuul
33749,https://www.hunt-analyser.com/hunt_sessions/33749,Roshamuul West,"Jul 28, 2025 18:59",00:43h,43,1,RP 589,589,589,589,1,4914005,3276116,638791,442036,1080827,1,6856751,4571324,891336,1508131.0,0,0,,roshamuul
34191,https://www.hunt-analyser.com/hunt_sessions/34191,Roshamuul West,"Aug 06, 2025 18:48",00:46h,46,1,RP 592,592,592,592,1,5944215,3962935,840066,442986,1283052,1,7753323,5169045,1095738,1673546.0,0,0,,roshamuul
35558,https://www.hunt-analyser.com/hunt_sessions/35558,Roshamuul West,"Aug 29, 2025 07:12",02:11h,131,1,RP 557,557,557,557,1,30174822,11363436,1824998,1361996,3186994,1,13820529,5204627,835876,1459692.0,0,0,,roshamuul
35628,https://www.hunt-analyser.com/hunt_sessions/35628,Roshamuul West,"Aug 30, 2025 06:40",02:11h,131,1,RP 559,559,559,559,1,30661662,11503798,1818157,1463846,3282003,1,14043509,5268915,832743,1503207.0,0,0,,roshamuul
35733,https://www.hunt-analyser.com/hunt_sessions/35733,Roshamuul West,"Aug 31, 2025 19:25",00:49h,49,1,RP 563,563,563,563,1,5667728,2540662,324273,368714,692987,1,6940075,3111014,397068,848556.0,0,0,,roshamuul
35874,https://www.hunt-analyser.com/hunt_sessions/35874,Roshamuul West,"Sep 02, 2025 14:15",02:05h,125,1,RP 563,563,563,563,1,30430830,11393636,1611122,1447072,3058194,1,14606798,5468945,773338,1467933.0,0,0,,roshamuul
35961,https://www.hunt-analyser.com/hunt_sessions/35961,Roshamuul West,"Sep 03, 2025 15:27",02:15h,135,1,RP 565,565,565,565,1,31051389,11651723,1775293,1431541,3206834,1,13800617,5178543,789019,1425260.0,0,0,,roshamuul
36173,https://www.hunt-analyser.com/hunt_sessions/36173,Roshamuul West,"Sep 06, 2025 04:20",02:12h,132,1,RP 572,572,572,572,1,50384859,11631082,1675127,1387035,3062162,1,22902208,5286855,761421,1391892.0,0,0,,roshamuul
36869,https://www.hunt-analyser.com/hunt_sessions/36869,Roshamuul West,"Sep 18, 2025 13:14",02:05h,125,1,RP 591,591,591,591,1,30931156,11565859,1819299,1361997,3181296,1,14846954,5551612,873263,1527022.0,0,0,,roshamuul
38260,https://www.hunt-analyser.com/hunt_sessions/38260,Roshamuul West - First run,"Oct 14, 2025 11:39",00:18h,18,1,RP 502,502,502,502,1,1472261,981508,100172,169248,269420,1,4907536,3271693,333906,898067.0,0,0,,roshamuul
41852,https://www.hunt-analyser.com/hunt_sessions/41852,Lower Roshamuul,"Dec 28, 2025 20:23",00:35h,35,1,RP 425,425,425,425,1,5495142,1831714,264192,319366,583558,1,9420243,3140081,452900,1000385.0,0,0,,roshamuul
42192,https://www.hunt-analyser.com/hunt_sessions/42192,Lower Roshamuul,"Jan 08, 2026 01:59",00:32h,32,1,RP 433,433,433,433,1,3099974,1797215,369481,277285,646766,1,5812451,3369778,692776,1212686.0,0,0,,roshamuul
44612,https://www.hunt-analyser.com/hunt_sessions/44612,Lower Roshamuul,"Mar 08, 2026 12:02",00:47h,47,1,RP 442,442,442,442,1,7174050,2391350,470759,382720,853479,1,9158361,3052787,600968,1089548.0,0,0,,roshamuul
45237,https://www.hunt-analyser.com/hunt_sessions/45237,After/West Roshamuul,"Mar 24, 2026 07:23",01:06h,66,1,EK 724,724,724,724,1,5929354,4561916,1071222,295504,1366726,1,5390321,4147196,973838,1242478.0,0,0,,roshamuul
46048,https://www.hunt-analyser.com/hunt_sessions/46048,Upper Roshamuul (North Depot),"Apr 15, 2026 09:47",01:00h,60,1,EK 737,737,737,737,1,4658037,4658037,1323680,248004,1571684,1,4658037,4658037,1323680,1571684.0,0,0,,roshamuul
46233,https://www.hunt-analyser.com/hunt_sessions/46233,(First Hunt) Upper Roshamuul - Nort DP,"Apr 19, 2026 18:05",01:01h,61,1,EK 739,739,739,739,1,5109301,5109301,1456981,315459,1772440,1,5025541,5025541,1433096,1743384.0,0,0,,roshamuul
48935,https://www.hunt-analyser.com/hunt_sessions/48935,Roshamuul West,"Jun 18, 2026 18:24",01:00h,60,1,RP 491,491,491,491,1,15774332,7042928,1795163,415225,2210388,1,15774332,7042928,1795163,2210388.0,0,0,,roshamuul
4914,https://www.hunt-analyser.com/hunt_sessions/4914,Upper Roshamuul Depot,"Sep 11, 2024 09:35",01:03h,63,1,EK 559,559,559,559,1,5652800,3653680,843683,367891,1211574,1,5383619,3479695,803507,1153880.0,0,0,,roshamuul
4948,https://www.hunt-analyser.com/hunt_sessions/4948,Roshamuul Depot,"Sep 12, 2024 01:38",02:15h,135,1,EK 560,560,560,560,1,7275164,7275156,1248026,953321,2201347,1,3233406,3233402,554678,978376.0,0,0,,roshamuul
49879,https://www.hunt-analyser.com/hunt_sessions/49879,Roshamuul,"Jun 28, 2026 16:39",00:21h,21,1,RP 335,335,335,335,1,1054215,0,78990,94032,173022,1,3012042,0,225685,494349.0,0,0,,roshamuul
51398,https://www.hunt-analyser.com/hunt_sessions/51398,Roshamuul West,"Jul 16, 2026 11:02",01:05h,65,1,RP 811,811,811,811,1,11153375,7435764,1912774,391560,2304334,1,10295423,6863782,1765637,2127078.0,0,0,,roshamuul
52190,https://www.hunt-analyser.com/hunt_sessions/52190,North Roshamuul (South - SOLO RP),"Jul 27, 2026 03:22",00:30h,30,1,RP 910,910,910,910,1,8067901,5794852,2359925,268348,2628273,1,16135802,11589704,4719850,5256546.0,0,0,,roshamuul
52856,https://www.hunt-analyser.com/hunt_sessions/52856,Roshamuul DP,"Aug 03, 2026 16:41",02:06h,126,1,RP 1097,1097,1097,1097,1,26839545,17893030,5426850,511565,5938415,1,12780735,8520490,2584214,2827817.0,0,0,,roshamuul
52922,https://www.hunt-analyser.com/hunt_sessions/52922,Roshamuul DP,"Aug 04, 2026 13:13",02:21h,141,1,RP 1098,1098,1098,1098,1,31771455,21180971,6144816,589882,6734698,1,13519768,9013179,2614815,2865829.0,0,0,,roshamuul
53422,https://www.hunt-analyser.com/hunt_sessions/53422,Roshamuul DP,"Aug 09, 2026 18:31",02:17h,137,1,RP 1100,1100,1100,1100,1,39647914,21712797,6239121,818261,7057382,1,17364049,9509254,2732461,3090824.0,0,0,,roshamuul
54405,https://www.hunt-analyser.com/hunt_sessions/54405,Upper Roshamuul,"Aug 19, 2026 05:10",02:00h,120,1,RP 793,793,793,793,1,30510848,14489676,3699519,1167418,4866937,1,15255424,7244838,1849759,2433468.0,0,0,,roshamuul
54907,https://www.hunt-analyser.com/hunt_sessions/54907,Roshamuul West,"Aug 24, 2026 14:35",00:29h,29,1,RP 467,467,467,467,1,4167527,2778352,508689,278025,786714,1,8622469,5748314,1052460,1627684.0,0,0,,roshamuul
55588,https://www.hunt-analyser.com/hunt_sessions/55588,West Roshamuul (SOLO RP),"Sep 01, 2026 03:31",00:47h,47,1,RP 932,932,932,932,1,16956936,10559689,1557798,342076,1899874,1,21647152,13480454,1988678,2425371.0,0,0,,roshamuul
8449,https://www.hunt-analyser.com/hunt_sessions/8449,Upper Roshamuul Depot,"Nov 07, 2024 03:22",01:01h,61,1,EK 585,585,585,585,1,3497535,3497535,545285,454078,999363,1,3440198,3440198,536345,982980.0,0,0,,roshamuul
8461,https://www.hunt-analyser.com/hunt_sessions/8461,Roshamuul Depot,"Nov 07, 2024 04:27",01:04h,64,1,EK 585,585,585,585,1,3065508,3065508,434535,458226,892761,1,2873913,2873913,407376,836963.0,0,0,,roshamuul
27533,https://www.hunt-analyser.com/hunt_sessions/27533,Azillion -3 -4 trio (Demon event),"Mar 21, 2025 10:06",03:31h,211,3,RP 1159+ED 1007+EK 1037,1007,1159,1068,1,170068088,63420761,8865006,5490097,14355103,1,48360593,18034339,2520854,4082020.0,0,0,,demon
27578,https://www.hunt-analyser.com/hunt_sessions/27578,Pumin Seal Demon boost 01,"Mar 21, 2025 21:26",00:52h,52,2,MS 692+EK 770,692,770,731,1,8121925,5414617,1650373,478404,2128777,1,9371451,6247635,1904276,2456281.0,0,0,,demon
30031,https://www.hunt-analyser.com/hunt_sessions/30031,Burster Spectre #25,"May 14, 2025 14:06",01:22h,82,1,EK 472,472,472,472,1,20550101,5726898,596042,336472,932514,1,15036659,4190413,436128,682327.0,0,0,,demon
30034,https://www.hunt-analyser.com/hunt_sessions/30034,Burster Spectre #26,"May 14, 2025 16:36",01:16h,76,1,EK 474,474,474,474,1,18864297,5597496,525854,310210,836064,1,14892866,4419075,415147,660051.0,0,0,,demon
37250,https://www.hunt-analyser.com/hunt_sessions/37250,Abandoned Sewers,"Sep 25, 2025 18:30",00:26h,26,1,RP 449,449,449,449,1,1822821,1215215,194223,191091,385314,1,4206510,2804342,448206,889186.0,0,0,,demon
