hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
29403,1,Bonk Lee,EM,Exalted Monk,178,-333745,-8492
29403,2,Alaju acvar,MS,Master Sorcerer,135,-284120,-282023
29958,1,Tranquillino Calmitto,EM,Exalted Monk,174,-188857,-127204
29958,2,Nightbritish,EK,Elite Knight,176,-176570,383175
32941,1,Undead Drago Beer,EK,Elite Knight,352,-249300,273171
33144,1,Undead Drago Beer,EK,Elite Knight,358,-178108,251148
33222,1,Undead Drago Beer,EK,Elite Knight,362,-257868,439362
33445,1,Kandydant,EM,Exalted Monk,182,-184298,60469
40956,1,Baiano Loro,RP,Royal Paladin,228,-151363,44256
51555,1,New Niel,ED,Elder Druid,407,-39974,275617
53187,1,Sauron Emo,EK,Elite Knight,265,-78322,167980
10194,1,Alex en Fortera,EK,Elite Knight,591,-515115,763930
10335,1,Boltzmann Arqueiro,RP,Royal Paladin,567,-491425,368044
10750,1,Boltzmann Arqueiro,RP,Royal Paladin,568,-316198,313981
27570,1,Roshak,RP,Royal Paladin,33,-132,693
30008,1,Nufrevi,RP,Royal Paladin,466,-445466,208385
30104,1,Nufrevi,RP,Royal Paladin,467,-433316,348337
32826,1,Steyz,RP,Royal Paladin,818,-514656,1108084
33749,1,Boltzmann Arqueiro,RP,Royal Paladin,589,-442036,638791
34191,1,Boltzmann Arqueiro,RP,Royal Paladin,592,-442986,840066
35558,1,Melzinho de Feira,RP,Royal Paladin,557,-1361996,1824998
35628,1,Melzinho de Feira,RP,Royal Paladin,559,-1463846,1818157
35733,1,Melzinho de Feira,RP,Royal Paladin,563,-368714,324273
35874,1,Melzinho de Feira,RP,Royal Paladin,563,-1447072,1611122
35961,1,Melzinho de Feira,RP,Royal Paladin,565,-1431541,1775293
36173,1,Melzinho de Feira,RP,Royal Paladin,572,-1387035,1675127
36869,1,Melzinho de Feira,RP,Royal Paladin,591,-1361997,1819299
38260,1,Tidas Vilao,RP,Royal Paladin,502,-169248,100172
41852,1,Yo Gxi Boyz,RP,Royal Paladin,425,-319366,264192
42192,1,Yo Gxi Boyz,RP,Royal Paladin,433,-277285,369481
44612,1,Yo Gxi Boyz,RP,Royal Paladin,442,-382720,470759
45237,1,Dragonbrack,EK,Elite Knight,724,-295504,1071222
46048,1,Dragonbrack,EK,Elite Knight,737,-248004,1323680
46233,1,Dragonbrack,EK,Elite Knight,739,-315459,1456981
48935,1,Ruthless Hidekun,RP,Royal Paladin,491,-415225,1795163
4914,1,Alex en Fortera,EK,Elite Knight,559,-367891,843683
4948,1,Alex en Fortera,EK,Elite Knight,560,-953321,1248026
49879,1,Elor Shissere,RP,Royal Paladin,335,-94032,78990
51398,1,Grancesco,RP,Royal Paladin,811,-391560,1912774
52190,1,Ayce sushi,RP,Royal Paladin,910,-268348,2359925
52856,1,El Macanudo,RP,Royal Paladin,1097,-511565,5426850
52922,1,El Macanudo,RP,Royal Paladin,1098,-589882,6144816
53422,1,El Macanudo,RP,Royal Paladin,1100,-818261,6239121
54405,1,Melzinho de Feira,RP,Royal Paladin,793,-1167418,3699519
54907,1,Yo Gxi Boyz,RP,Royal Paladin,467,-278025,508689
55588,1,Ayce sushi,RP,Royal Paladin,932,-342076,1557798
8449,1,Alex en Fortera,EK,Elite Knight,585,-454078,545285
8461,1,Alex en Fortera,EK,Elite Knight,585,-458226,434535
27533,1,Gandi Bar,RP,Royal Paladin,1159,-2832918,1438750
27533,2,Gosil,ED,Elder Druid,1007,-1002968,1159098
27533,3,Zeekanse,EK,Elite Knight,1037,-1654211,6267158
27578,1,Reaper Sevens,MS,Master Sorcerer,692,-249262,-249262
27578,2,Bust the werriors,EK,Elite Knight,770,-229142,1899635
30031,1,Blu Yei,EK,Elite Knight,472,-336472,596042
30034,1,Blu Yei,EK,Elite Knight,474,-310210,525854
37250,1,Fae Nya,RP,Royal Paladin,449,-191091,194223
38400,1,Reaper Sevens,MS,Master Sorcerer,800,-392805,254352
38400,2,Bust the werriors,EK,Elite Knight,821,-230046,4123835
38570,1,Fae Nya,RP,Royal Paladin,467,-373028,426867
38912,1,Fae Nya,RP,Royal Paladin,471,-184308,303994
41046,1,Ser Incognito,EK,Elite Knight,434,-165806,310019
41091,1,Ser Incognito,EK,Elite Knight,435,-219190,647945
42139,1,Yo Gxi Boyz,RP,Royal Paladin,431,-311068,819524
42159,1,Yo Gxi Boyz,RP,Royal Paladin,432,-248746,885927
42161,1,Yo Gxi Boyz,RP,Royal Paladin,432,-300050,565659
44540,1,Knockinon Heavens Door,ED,Elder Druid,451,-66642,168061
44540,2,Demon Kiira,EK,Elite Knight,373,-166287,239181
44985,1,Knockinon Heavens Door,ED,Elder Druid,469,-162830,-73018
44985,2,Drago Yun Lee,EM,Exalted Monk,438,-423080,198433
44985,3,Demon Kiira,EK,Elite Knight,410,-703046,272856
44985,4,Evaya Mitrago,RP,Royal Paladin,390,-303927,557948
