hunt_id,creature,killed
24692,Adept of the Cult,235
24692,Enlightened of the Cult,137
24692,Acolyte of the Cult,87
24692,Novice of the Cult,24
24692,Serpent Spawn,10
2884,Nightmare Scion,298
2884,Undead Gladiator,236
2884,Ogre Brute,1
2884,Nightmare,1
29463,Earth Elemental,419
29463,Clay Guardian,375
29463,Mutated Rat,218
29463,Crystalcrusher,121
29463,Bonebeast,34
29463,Mutated Bat,3
29463,Ancient Scarab,2
29500,Earth Elemental,361
29500,Clay Guardian,315
29500,Mutated Rat,189
29500,Crystalcrusher,106
29500,Bonebeast,33
29500,Mutated Bat,7
29576,Earth Elemental,339
29576,Clay Guardian,302
29576,Mutated Rat,175
29576,Crystalcrusher,102
29576,Bonebeast,35
29576,Mutated Bat,11
29641,Earth Elemental,259
29641,Clay Guardian,225
29641,Mutated Rat,127
29641,Crystalcrusher,78
29641,Bonebeast,29
29641,Mutated Bat,26
29641,Ancient Scarab,7
29651,Vicious Squire,89
29651,Hero,87
29651,Renegade Knight,44
29651,Vile Grandmaster,18
29651,Lich,5
29651,Wyvern,2
29651,Poacher,2
29651,Wolf,1
29679,Dark Faun,211
29679,Twisted Pooka,185
29679,Boogy,79
29732,Vicious Squire,202
29732,Hero,168
29732,Renegade Knight,82
29732,Vile Grandmaster,31
29732,Bonebeast,10
29732,Lich,9
29732,Skeleton,1
29732,Ghoul,1
29859,Dark Faun,285
29859,Twisted Pooka,247
29859,Boogy,117
30000,Dark Faun,662
30000,Twisted Pooka,581
30000,Boogy,279
30000,Faun,5
36270,Fury,75
36271,Ancient Scarab,467
36271,Scarab,431
36271,Bonebeast,315
36271,Larva,63
36271,Mummy,35
36271,Necromancer,24
36271,Nomad,18
36271,Dromedary,4
36271,Sandcrawler,2
36271,Bat,2
52279,Crypt Warrior,433
52560,Vampire,74
52560,Necromancer,70
52560,Bonebeast,68
52560,Demon Skeleton,31
52560,Vampire Bride,13
52560,Vampire Viscount,11
52572,Giant Spider,261
52572,Tarantula,115
52667,Giant Spider,291
52667,Tarantula,128
52773,Water Elemental,197
52773,Quara Mantassin Scout,40
52823,Quara Mantassin Scout,19
52823,Quara Mantassin,19
52823,Quara Pincher Scout,18
52823,Quara Constrictor,16
52823,Quara Hydromancer,15
52823,Quara Predator Scout,14
52823,Quara Pincher,14
52823,Quara Constrictor Scout,12
52823,Quara Predator,6
52823,Quara Hydromancer Scout,6
53124,Bog Raider,148
53124,Death Blob,33
53124,Nightmare Scion,32
53124,Nightmare,17
53124,Mutated Tiger,10
53124,Acid Blob,1
57092,Norcferatu Heartless,90
57092,Norcferatu Nightweaver,88
57092,Varg,63
57092,Orclops Bloodbreaker,16
57092,Gloom Maw,11
57092,Tarantula,4
57092,Dworc Shadowstalker,2
7709,Acolyte of the Cult,220
7709,Adept of the Cult,218
