item,npc,npc_price,market_band
Nighthunter Wing,Everything,2000,High
Sulphur Powder,Everything,1900,High
Mino Shield,Everything,3000,Low
Silken Bookmark,Everything,1300,Medium
Giant Tusk,Everything,6000,Very High
Brinebrute Claw,Everything,2600,Very High
Deadly Fangs,Everything,5500,Very High
Crystal Crossbow,Everything,35000,High
Terra Hood,Everything,2500,Low
Undertaker Fangs,Everything,2700,High
Terra Boots,Everything,2500,Low
Magma Coat,Everything,11000,Low
Necromantic Core,Everything,10000,Very High
Relic Sword,Everything,25000,Low
Vile Axe,Everything,30000,High
Chasm Spawn Head,Everything,850,Medium
Stalking Seeds,Everything,1800,Very High
Diamond Sceptre,Everything,3000,Low
Inkwell,Everything,720,High
Sulphider Shell,Everything,2200,Very High
Skullcracker Armor,Everything,18000,High
Crystallized Death,Everything,3000,Very High
Book Page,Everything,640,Low
Crystalline Armor,Everything,16000,High
Gore Horn,Everything,2900,Very High
Golden Legs,Everything,30000,Very High
Zaoan Armor,Everything,14000,Low
Knight Legs,Everything,5000,Low
Sabretooth Fur,Everything,2500,Very High
Night Harpy Feathers,Everything,5000,Very High
Prehemoth Claw,Everything,2300,Very High
War Axe,Everything,12000,Medium
Mercenary Sword,Everything,12000,Low
Zaoan Robe,Everything,12000,Very High
Mercurial Wing,Everything,2500,Very High
Toe Nails,Everything,4500,Very High
Glacier Mask,Everything,2500,Medium
Glacier Robe,Everything,11000,Low
Spellweaver's Robe,Everything,12000,Low
Dark Obsidian Splinter,Everything,4400,Very High
Silver Moon Coin,Everything,11000,High
Spellbook of Mind Control,Everything,13000,Low
Terra Mantle,Everything,11000,Low
Lightning Robe,Everything,11000,Very High
Dragon Slayer,Everything,15000,Very High
Rubber Cap,Everything,11000,Medium
Wooden Spellbook,Everything,12000,Medium
Unholy Bone,Everything,480,Medium
Darklight Core,Everything,4100,Very High
Golden Sun Coin,Everything,11000,Very High
Glowing Rune,Everything,350,Low
Crystal Mace,Everything,12000,Low
Emerald Tortoise Shell,Everything,2150,Very High
Darklight Basalt Chunk,Everything,3800,Very High
Naga Archer Scales,Everything,340,High
Alloy Legs,Everything,11000,Very High
Titan Axe,Everything,4000,Low
Trapped Bad Dream Monster,Everything,900,Medium
Ice Flower,Everything,370,Medium
Bonebreaker,Everything,10000,High
Chaos Mace,Everything,9000,Medium
Guardian Shield,Everything,2000,Low
Ornate Crossbow,Everything,12000,Medium
Metal Bat,Everything,9000,Very High
Bundle of Cursed Straw,Everything,800,Very High
Vein of Ore,Everything,330,High
Cluster of Crystallized Death,Everything,9000,Very High
Rotten Roots,Everything,3800,Very High
Cry-Stal,Everything,3200,Very High
Naga Warrior Scales,Everything,340,Medium
Essence of A Bad Dream,Everything,360,Medium
Mantosaurus Jaw,Everything,2800,High
Badger Boots,Everything,7500,Low
Stag Parchment,Everything,3000,Very High
Gorerilla Mane,Everything,2750,Very High
Buckle,Everything,7000,Very High
Glorious Axe,Everything,3000,Low
Glooth Cape,Everything,7000,Very High
Mino Lance,Everything,7000,High
Headpecker Beak,Everything,2800,Very High
Tunnel Tyrant Shell,Everything,700,Medium
Headpecker Feather,Everything,1300,Very High
Gorerilla Tail,Everything,2650,Very High
Fire Axe,Everything,8000,Low
Deepworm Spike Roots,Everything,650,Medium
Carnisylvan Finger,Everything,250,High
Glacier Shoes,Everything,2500,Low
Ripptor Claw,Everything,2600,Very High
Darklight Matter,Everything,5500,Very High
Wood Cape,Everything,5000,Low
Magma Clump,Everything,570,Medium
Focus Cape,Everything,6000,Low
Magma Boots,Everything,2500,Low
Pair of Hellflayer Horns,Everything,1300,Medium
Cuirass Plate,Everything,1000,Very High
Werecrocodile Tongue,Everything,570,Medium
Angelic Axe,Everything,5000,Medium
Golden Sickle,Everything,1000,Low
Cave Devourer Maw,Everything,600,High
Carnisylvan Bark,Everything,230,Medium
Prehemoth Horns,Everything,3000,Very High
Knight Axe,Everything,2000,Low
Hellhound Slobber,Everything,500,Very High
Single Human Eye,Everything,1000,Medium
Zaoan Shoes,Everything,5000,Low
Weretiger Tooth,Everything,490,High
Lightning Headband,Everything,2500,Medium
Tunnel Tyrant Head,Everything,500,High
Cave Devourer Eyes,Everything,550,High
Book With A Dragon,Everything,1800,High
Bulltaur Armor Scrap,Everything,480,High
Frazzle Tongue,Everything,700,Low
Fur Armor,Everything,5000,Low
Streaked Devourer Maw,Everything,400,Very High
Bloodshot Giant Eye,Everything,1820,High
Worm Sponge,Everything,4200,Very High
Strange Substance,Everything,810,Very High
Wardragon Tooth,Everything,730,High
Crystalline Spikes,Everything,440,High
Blood Hood,Everything,1550,Low
Basalt Crumbs,Everything,3000,Very High
Lavafungus Ring,Everything,390,Very High
Decayed Finger Bone,Everything,5100,Very High
Cave Devourer Legs,Everything,350,High
Quara Pincers,Everything,410,Low
Quara Eye,Everything,350,Low
Slimy Leaf Tentacle,Everything,320,High
Glooth Injection Tube,Everything,350,Medium
Crawler's Essence,Everything,3700,Very High
Dragolisk Eye,Everything,690,High
Crystal of The Mitmah,Everything,280,Medium
Lavaworm Spike Roots,Everything,600,Very High
Crab Man Claws,Everything,550,Very High
Bloated Maggot,Everything,5200,Very High
Necromantic Rust,Everything,390,High
Lump of Earth,Everything,130,Medium
Cobra Crest,Everything,650,Low
Spiked Bracers,Everything,1360,Medium
Deepling Ridge,Everything,360,High
Paper Plane,Everything,480,Very High
Pot of Orcish Warpaint,Everything,1150,Low
Blemished Spawn Abdomen,Everything,550,Very High
Roots,Everything,1200,Very High
Blood Amulet,Everything,1230,High
Piece of Draconian Steel,Everything,3000,High
Hibiscus Dress,Everything,3000,Very High
Ripptor Scales,Everything,1200,Very High
Dragon Tongue,Everything,550,Medium
Deeptags,Everything,290,Medium
Lamassu Hoof,Everything,330,High
Star Ink,Everything,1250,Low
Chasm Spawn Tail,Everything,120,Medium
Broodrider Saddle,Everything,2800,High
Silver Poniard,Everything,2000,Very High
Brigadeiro,Everything,2640,Very High
Pirate Coin,Everything,110,Low
Idol of The Forge,Everything,950,High
Bowl of Terror Sweat,Everything,500,Low
Dragolisk Poison Gland,Everything,475,Low
Magma Monocle,Everything,2500,Low
Deepworm Jaws,Everything,500,Medium
Chain Leash,Everything,970,Medium
Human Teeth,Everything,2000,Very High
Curious Matter,Everything,430,Medium
Draken Wristbands,Everything,430,High
Lightning Boots,Everything,2500,High
Elven Astral Observer,Everything,90,Medium
Werefox Tail,Everything,200,Medium
Fafnar Symbol,Everything,950,High
Lavafungus Head,Everything,900,Very High
Ensouled Essence,Everything,820,Low
Mould Heart,Everything,2100,Very High
Dead Weight,Everything,450,Low
Heart Amphora,Everything,930,Low
Spiked Gorget,Everything,850,High
Pool of Chitinous Glue,Everything,480,Medium
Nimmersatt's Seal,Everything,520,Low
Deepworm Spikes,Everything,800,High
Odd Organ,Everything,410,Medium
Molten Dragon Essence,Everything,840,High
Sineater Wing,Everything,2100,High
Gorger Antlers,Everything,2250,Very High
Amber Souvenir,Everything,850,Very High
Spitter Nose,Everything,340,High
Scale of Corruption,Everything,680,Medium
Halberd,Everything,400,Low
Werebadger Skull,Everything,185,Medium
Ritual Bone Knife,Everything,820,Low
Shiny Stone,Everything,500,Medium
Wardragon Claw,Everything,550,Medium
Ancient Stone,Everything,200,Medium
Heavy Trident,Everything,2000,Low
Pulverized Ore,Everything,400,Medium
Eye of A Deepling,Everything,150,High
Eyeless Devourer Legs,Everything,650,Very High
Eye of Corruption,Everything,390,High
Dragon Hammer,Everything,2000,Medium
Cat's Paw,Everything,2000,Low
Ogre Ear Stud,Everything,180,Medium
Werebear Fur,Everything,185,High
Bulltaur Horn,Everything,385,Low
Lavaworm Spikes,Everything,750,Very High
Orcish Toothbrush,Everything,750,Low
Goanna Meat,Everything,190,High
Ghastly Dragon Head,Everything,700,High
Bone Rattle,Everything,790,High
Werewolf Fur,Everything,380,Medium
Rhindeer Antlers,Everything,680,High
Diremaw Brainpan,Everything,350,Low
Harpy Feathers,Everything,730,High
Streaked Devourer Eyes,Everything,500,Very High
Werebear Skull,Everything,195,High
Flotsam,Everything,330,Very High
Old Girtablilu Carapace,Everything,570,Very High
Lime Tart,Everything,1870,Very High
Hydrophytes,Everything,220,High
Paper Boat,Everything,800,High
