item,imbuement,tier,qty
Fiery Heart,Scorch,Basic,25
Fiery Heart,Scorch,Intricate,25
Green Dragon Scale,Scorch,Intricate,5
Fiery Heart,Scorch,Powerful,25
Green Dragon Scale,Scorch,Powerful,5
Demon Horn,Scorch,Powerful,5
Swamp Grass,Venom,Basic,25
Swamp Grass,Venom,Intricate,25
Poisonous Slime,Venom,Intricate,20
Swamp Grass,Venom,Powerful,25
Poisonous Slime,Venom,Powerful,20
Slime Heart,Venom,Powerful,2
Frosty Heart,Frost,Basic,25
Frosty Heart,Frost,Intricate,25
Seacrest Hair,Frost,Intricate,10
Frosty Heart,Frost,Powerful,25
Seacrest Hair,Frost,Powerful,10
Polar Bear Paw,Frost,Powerful,5
Rorc Feather,Electrify,Basic,25
Rorc Feather,Electrify,Intricate,25
Peacock Feather Fan,Electrify,Intricate,5
Rorc Feather,Electrify,Powerful,25
Peacock Feather Fan,Electrify,Powerful,5
Energy Vein,Electrify,Powerful,1
Pile of Grave Earth,Reap,Basic,25
Pile of Grave Earth,Reap,Intricate,25
Demonic Skeletal Hand,Reap,Intricate,20
Pile of Grave Earth,Reap,Powerful,25
Demonic Skeletal Hand,Reap,Powerful,20
Petrified Scream,Reap,Powerful,5
Vampire Teeth,Vampirism,Basic,25
Vampire Teeth,Vampirism,Intricate,25
Bloody Pincers,Vampirism,Intricate,15
Vampire Teeth,Vampirism,Powerful,25
Bloody Pincers,Vampirism,Powerful,15
Piece of Dead Brain,Vampirism,Powerful,5
Rope Belt,Void,Basic,25
Rope Belt,Void,Intricate,25
Silencer Claws,Void,Intricate,25
Rope Belt,Void,Powerful,25
Silencer Claws,Void,Powerful,25
Some Grimeleech Wings,Void,Powerful,5
Flask of Embalming Fluid,Lich Shroud,Basic,25
Flask of Embalming Fluid,Lich Shroud,Intricate,25
Gloom Wolf Fur,Lich Shroud,Intricate,20
Flask of Embalming Fluid,Lich Shroud,Powerful,25
Gloom Wolf Fur,Lich Shroud,Powerful,20
Mystical Hourglass,Lich Shroud,Powerful,5
Piece of Swampling Wood,Snake Skin,Basic,25
Piece of Swampling Wood,Snake Skin,Intricate,25
Snake Skin,Snake Skin,Intricate,20
Piece of Swampling Wood,Snake Skin,Powerful,25
Snake Skin,Snake Skin,Powerful,20
Brimstone Fangs,Snake Skin,Powerful,10
Green Dragon Leather,Dragon Hide,Basic,20
Green Dragon Leather,Dragon Hide,Intricate,20
Blazing Bone,Dragon Hide,Intricate,10
