date,buy,sell
2026-08-17,445,504
2026-08-17,445,504
2026-08-18,451,493
2026-08-19,454,494
2026-08-19,454,494
2026-08-20,454,500
2026-08-21,455,500
2026-08-22,453,500
2026-08-23,452,503
2026-08-23,452,503
2026-08-24,450,521
2026-08-25,451,531
2026-08-25,451,531
2026-08-26,451,540
2026-08-27,451,535
2026-08-28,451,546
2026-08-29,452,544
2026-08-29,452,544
2026-08-30,452,534
2026-08-31,453,543
2026-08-31,453,543
2026-09-01,454,0
2026-09-02,453,525
2026-09-03,453,525
2026-09-04,452,511
2026-09-05,452,521
2026-09-06,458,521
2026-09-07,451,524
2026-09-07,450,509
2026-09-08,450,525
2026-09-09,452,509
2026-09-10,450,514
2026-09-11,451,518
2026-09-12,440,502
2026-09-13,402,503
2026-09-14,406,502
