hunt_id,spawn,hunt_date,minutes,creature,killed,kills_per_h,xp_h,loot_h,balance_h,url
52279,Crypt Warrior,"Jul 28, 2026 09:45",28,Crypt Warrior,433,927.9,8447524,681249,681248,https://www.hunt-analyser.com/hunt_sessions/52279
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Vampire,74,120.0,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Necromancer,70,113.5,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Bonebeast,68,110.3,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Demon Skeleton,31,50.3,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Vampire Bride,13,21.1,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",37,Vampire Viscount,11,17.8,323414,62528,21496,https://www.hunt-analyser.com/hunt_sessions/52560
52572,Port Hope Spider Cave,"Jul 31, 2026 15:40",60,Giant Spider,261,261.0,376290,63228,11549,https://www.hunt-analyser.com/hunt_sessions/52572
52572,Port Hope Spider Cave,"Jul 31, 2026 15:40",60,Tarantula,115,115.0,376290,63228,11549,https://www.hunt-analyser.com/hunt_sessions/52572
52667,Port Hope Spider Cave,"Aug 01, 2026 17:33",60,Giant Spider,291,291.0,616481,52699,-6279,https://www.hunt-analyser.com/hunt_sessions/52667
52667,Port Hope Spider Cave,"Aug 01, 2026 17:33",60,Tarantula,128,128.0,616481,52699,-6279,https://www.hunt-analyser.com/hunt_sessions/52667
52773,Port Hope Water Elementals (South),"Aug 02, 2026 21:36",32,Water Elemental,197,369.4,371756,39651,3928,https://www.hunt-analyser.com/hunt_sessions/52773
52773,Port Hope Water Elementals (South),"Aug 02, 2026 21:36",32,Quara Mantassin Scout,40,75.0,371756,39651,3928,https://www.hunt-analyser.com/hunt_sessions/52773
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Mantassin Scout,19,51.8,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Mantassin,19,51.8,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Pincher Scout,18,49.1,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Constrictor,16,43.6,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Hydromancer,15,40.9,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Predator Scout,14,38.2,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Pincher,14,38.2,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Constrictor Scout,12,32.7,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Predator,6,16.4,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",22,Quara Hydromancer Scout,6,16.4,365440,66622,16254,https://www.hunt-analyser.com/hunt_sessions/52823
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Bog Raider,148,296.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Death Blob,33,66.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Nightmare Scion,32,64.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Nightmare,17,34.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Mutated Tiger,10,20.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",30,Acid Blob,1,2.0,629342,75424,-17260,https://www.hunt-analyser.com/hunt_sessions/53124
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Werefox,57,100.6,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Werebadger,50,88.2,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Wereboar,33,58.2,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Werebear,25,44.1,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Werewolf,19,33.5,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Poison Spider,6,10.6,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Orc Warrior,2,3.5,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Orc,2,3.5,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37083,Edron Were cave1,"Sep 23, 2025 10:34",34,Orc Spearman,1,1.8,907515,270355,154374,https://www.hunt-analyser.com/hunt_sessions/37083
37085,Edron Were cave2,"Sep 23, 2025 12:13",24,Werefox,54,135.0,1173645,144892,13692,https://www.hunt-analyser.com/hunt_sessions/37085
37085,Edron Were cave2,"Sep 23, 2025 12:13",24,Werebadger,41,102.5,1173645,144892,13692,https://www.hunt-analyser.com/hunt_sessions/37085
37085,Edron Were cave2,"Sep 23, 2025 12:13",24,Wereboar,34,85.0,1173645,144892,13692,https://www.hunt-analyser.com/hunt_sessions/37085
