item,fair,imbuements,delivery_npcs,delivery_bands,npc_price
Afflicted Strider Head,,,Yasir,Very High,900
Afflicted Strider Worms,,,Yasir,Very High,500
Alloy Legs,,,Flint|Outro,Very High,11000
Amber Souvenir,,,Outro|Yasir,Very High,850
Ancient Belt Buckle,,,Yasir,High,260
ancient stone,338,,Outro|Telas,Medium,200
Angelic Axe,,,Djinn,Medium,5000
Apron,,,Yasir,Very High,1300
Badger Boots,,,Gladys|Outro,Low,7500
Banana Sash,,,Yasir,Medium,55
Basalt Core,,,Yasir,Very High,5800
Basalt Crumbs,,,Outro|Yasir,Very High,3000
Basalt Fetish,,,Yasir,Very High,210
Basalt Figurine,,,Yasir,Medium,160
Bashmu Fang,,,Yasir,High,600
Bashmu Feather,,,Yasir,Medium,350
Bashmu Tongue,,,Yasir,Medium,400
Battle Shield,,,Others|Outro,Medium,95
battle stone,128,Intricate Chop x25|Powerful Chop x25,,,
Black Shield,,,Djinn,Medium,800
blazing bone,,Intricate Dragon Hide x10|Powerful Dragon Hide x10,,,
Blemished Spawn Abdomen,,,Yasir,Very High,550
Blemished Spawn Head,,,Yasir,Very High,800
Blemished Spawn Tail,,,Yasir,Very High,1000
Bloated Maggot,,,Yasir,Very High,5200
Blood Amulet,,,Yasir,High,1230
Blood Hood,,,Outro|Yasir,Low,1550
Blood Preservation,,,Yasir,Low,320
blood tincture in a vial,1121,,Yasir,High,360
Blooded Worm,,,Yasir,Very High,4700
Bloodshot Giant Eye,,,Yasir,High,1820
bloody pincers,,Intricate Vampirism x15|Powerful Vampirism x15,,,
Blue Goanna Scale,,,Yasir,Medium,230
Boar Man Hoof,,,Yasir,High,600
boggy dreads,1494,,Yasir,Medium,200
Bola,,,Yasir,Medium,35
Bone Club,,,Others|Outro,High,5
Bone Fetish,,,Yasir,High,150
Bone Fibula,,,Yasir,Medium,580
Bone Rattle,,,Yasir,High,790
bone shoulderplate,133,,Esrik|Yasir,Medium,150
Bone Toothpick,,,Yasir,Medium,150
Bonebreaker,,,Djinn,High,10000
Bonecarving Knife,,,Yasir,Medium,190
bony tail,180,,Yasir,Low,210
Book of Necromantic Rituals,,,Yasir,Medium,180
Book Page,,,Yasir,Low,640
Book With A Dragon,,,Yasir,High,1800
Book With An Hourglass,,,Yasir,Low,1450
Bowl of Terror Sweat,,,Yasir,Low,500
Brigadeiro,,,Outro|Yasir,Very High,2640
brimstone fangs,,Powerful Snake Skin x10,,,
brimstone shell,,Intricate Blockade x25|Powerful Blockade x25,,,
Brinebrute Claw,,,Yasir,Very High,2600
Broadsword,,,Djinn,High,500
Broken Draken Mail,,,Esrik|Outro,High,340
Broken Gladiator Shield,,,Outro|Telas,Medium,190
broken halberd,1404,,Esrik|Outro,High,100
Broken Mitmah Necklace,,,Outro|Yasir,Medium,210
broken shamanic staff,,Intricate Epiphany x15|Powerful Epiphany x15,,,
Broken Slicer,,,Esrik|Outro,High,120
broken throwing axe,676,,Outro|Yasir,Medium,230
Broodrider Saddle,,,Yasir,High,2800
Buckle,,,Rashid,Very High,7000
Bulltaur Armor Scrap,,,Yasir,High,480
Bulltaur Hoof,,,Yasir,Medium,540
Bulltaur Horn,,,Yasir,Low,385
Bundle of Cursed Straw,,,Yasir,Very High,800
Capricious Heart,,,Yasir,Very High,2100
Capricious Robe,,,Yasir,Very High,1200
Carnisylvan Bark,,,Yasir,Medium,230
Carnisylvan Finger,,,Yasir,High,250
Carnivostrich Feather,,,Yasir,High,630
Cat's Paw,,,Yasir,Low,2000
Cave Chimera Head,,,Yasir,Very High,1200
Cave Chimera Leg,,,Yasir,Very High,650
Cave Devourer Eyes,,,Yasir,High,550
Cave Devourer Legs,,,Yasir,High,350
Cave Devourer Maw,,,Yasir,High,600
Centipede Leg,,,Yasir,High,28
Chain Leash,,,Yasir,Medium,970
Chaos Mace,,,Rashid,Medium,9000
Chasm Spawn Abdomen,,,Yasir,Medium,240
Chasm Spawn Head,,,Yasir,Medium,850
Chasm Spawn Tail,,,Yasir,Medium,120
Cheese Cutter,,,Yasir,Medium,50
Cheesy Figurine,,,Yasir,Medium,150
Cluster of Crystallized Death,,,Outro|Yasir,Very High,9000
Cobra Crest,,,Yasir,Low,650
Colourful Feather,,,Yasir,High,110
colourful snail shell,2160,,Yasir,Medium,250
Combat Knife,,,Others|Outro,Medium,1
compass,,Intricate Swiftness x25|Powerful Swiftness x25,,,
Compound Eye,,,Yasir,Low,150
Cookbook,,,Outro|Yasir,Medium,870
Coral Branch,,,Yasir,Very High,360
cowbell,90,,Outro|Yasir,Low,210
Crab Man Claws,,,Outro|Yasir,Very High,550
Cracked Alabaster Vase,,,Yasir,High,180
crawler head plating,,Intricate Cloud Fabric x15|Powerful Cloud Fabric x15,,,
Crawler's Essence,,,Yasir,Very High,3700
Crown,,,Yasir,Very High,2700
Cry-Stal,,,Outro|Yasir,Very High,3200
crystal bone,5597,,Yasir,High,250
Crystal Crossbow,,,Rashid,High,35000
Crystal Mace,,,Rashid,Low,12000
Crystal of The Mitmah,,,Yasir,Medium,280
Crystal Sword,,,Rashid,Low,600
Crystalline Armor,,,Rashid,High,16000
Crystalline Spikes,,,Outro|Telas,High,440
Crystalline Sword,,,Ninguem|Others,Very High,
crystallized anger,131,Intricate Vibrancy x15|Powerful Vibrancy x15,,,
Crystallized Death,,,Outro|Yasir,Very High,3000
Cuirass Plate,,,Outro|Yasir,Very High,1000
cultish mask,9334,Intricate Demon Presence x25|Powerful Demon Presence x25,,,
cultish robe,21,Basic Demon Presence x25|Intricate Demon Presence x25|Powerful Demon Presence x25,,,
curious matter,216,,Yasir,Medium,430
Cursed Shoulder Spikes,,,Esrik|Yasir,High,320
cyclops toe,27,Basic Bash x20|Intricate Bash x20|Powerful Bash x20,,,
Damaged Armor Plates,,,Yasir,High,280
Damselfly Eye,,,Yasir,High,25
damselfly wing,,Basic Swiftness x15|Intricate Swiftness x15|Powerful Swiftness x15,,,
dandelion seeds,808,,Yasir,Medium,200
dangerous proto matter,608,,Yasir,Low,300
Dark Obsidian Splinter,,,Yasir,Very High,4400
Dark Rosary,,,Yasir,Medium,48
Dark Shield,,,Rashid,Medium,400
Darklight Basalt Chunk,,,Yasir,Very High,3800
Darklight Core,,,Outro|Yasir,Very High,4100
Darklight Matter,,,Outro|Yasir,Very High,5500
Dead Weight,,,Yasir,Low,450
Deadly Fangs,,,Outro|Yasir,Very High,5500
Decayed Finger Bone,,,Outro|Yasir,Very High,5100
Deepling Breaktime Snack,,,Yasir,High,90
Deepling Claw,,,Yasir,High,430
Deepling Guard Belt Buckle,,,Yasir,High,230
Deepling Ridge,,,Yasir,High,360
Deepling Scales,,,Yasir,High,80
deepling warts,,Powerful Quara Scale x10,,,
Deeptags,,,Yasir,Medium,290
Deepworm Jaws,,,Yasir,Medium,500
Deepworm Spike Roots,,,Yasir,Medium,650
Deepworm Spikes,,,Yasir,High,800
demon horn,601,Powerful Scorch x5,,,
Demon Root,,,Outro|Yasir,Low,950
Demonic Matter,,,Ninguem|Others,High,
demonic skeletal hand,51,Intricate Reap x20|Powerful Reap x20,,,
Diamond Sceptre,,,Rashid,Low,3000
Diremaw Brainpan,,,Yasir,Low,350
Diremaw Legs,,,Yasir,Low,270
Dirty Turban,,,Yasir,High,120
Distorted Heart,,,Yasir,Very High,2100
Distorted Robe,,,Yasir,Very High,1200
double axe,272,,Others|Outro,Medium,260
Dowser,,,Yasir,Medium,35
Dragolisk Eye,,,Yasir,High,690
Dragolisk Poison Gland,,,Yasir,Low,475
Dragon Hammer,,,Djinn,Medium,2000
Dragon Priest's Wandtip,,,Yasir,Very High,175
Dragon Slayer,,,Rashid,Very High,15000
Dragon Tongue,,,Yasir,Medium,550
Dragon's Tail,,,Yasir,Low,100
draken sulphur,,Powerful Dragon Hide x5,,,
Draken Wristbands,,,Yasir,High,430
Dream Essence Egg,,,Yasir,Low,205
Dung Ball,,,Yasir,High,130
Earflap,,,Yasir,Medium,40
elder bonelord tentacle,3911,,Yasir,High,150
Elven Astral Observer,,,Yasir,Medium,90
elven hoof,,Intricate Precision x20|Powerful Precision x20,,,
elven scouting glass,,Basic Precision x25|Intricate Precision x25|Powerful Precision x25,,,
elvish talisman,,Basic Epiphany x25|Intricate Epiphany x25|Powerful Epiphany x25,,,
Emerald Tortoise Shell,,,Yasir,Very High,2150
Empty Honey Glass,,,Yasir,High,270
Encrypted Notes,,,Yasir,High,620
energy ball,429,,Yasir,Low,300
energy vein,75,Powerful Electrify x1,,,
Ensouled Essence,,,Yasir,Low,820
Essence of A Bad Dream,,,Yasir,Medium,360
Exalted Core,,,Ninguem|Others,Very High,
Execowtioner Mask,,,Outro|Yasir,Very High,240
Eye of A Deepling,,,Yasir,High,150
Eye of A Weeper,,,Yasir,Very High,650
Eye of Corruption,,,Yasir,High,390
Eyeless Devourer Legs,,,Yasir,Very High,650
Eyeless Devourer Maw,,,Yasir,Very High,420
Eyeless Devourer Tongue,,,Yasir,Very High,900
Fafnar Symbol,,,Yasir,High,950
fairy wings,70,Basic Featherweight x20|Intricate Featherweight x20|Powerful Featherweight x20,,,
Falcon Crest,,,Yasir,High,650
fiery heart,,Basic Scorch x25|Intricate Scorch x25|Powerful Scorch x25,,,
fig leaf,1411,,Yasir,Medium,200
Fir Cone,,,Yasir,Medium,25
Fire Axe,,,Djinn,Low,8000
Flask of Demonic Blood,,,Ninguem|Others,Medium,
flask of embalming fluid,,Basic Lich Shroud x25|Intricate Lich Shroud x25|Powerful Lich Shroud x25,,,
Flotsam,,,Yasir,Very High,330
Focus Cape,,,Others|Outro,Low,6000
fox paw,815,,Gladys|Yasir,Medium,100
frazzle skin,336,Powerful Blockade x25,,,
frazzle tongue,335,,Yasir,Low,700
frosty heart,192,Basic Frost x25|Intricate Frost x25|Powerful Frost x25,,,
frozen lightning,191,,Yasir,Low,270
Fur Armor,,,Gladys|Outro,Low,5000
gauze bandage,617,,Yasir,Medium,90
Ghastly Dragon Head,,,Yasir,High,700
Giant Pacifier,,,Outro|Yasir,Very High,170
Giant Tusk,,,Outro|Yasir,Very High,6000
girlish hair decoration,33,,Yasir,Low,30
Girtablilu Warrior Carapace,,,Yasir,Very High,520
Glacier Mask,,,Rashid,Medium,2500
Glacier Robe,,,Rashid,Low,11000
Glacier Shoes,,,Rashid,Low,2500
Glob of Acid Slime,,,Outro|Yasir,Low,25
Glob of Glooth,,,Outro|Yasir,Low,125
Glob of Tar,,,Outro|Yasir,High,30
gloom wolf fur,,Intricate Lich Shroud x20|Powerful Lich Shroud x20,,,
Glooth Axe,,,Flint|Outro,Low,1500
Glooth Blade,,,Flint|Outro,Low,1500
Glooth Cape,,,Flint|Outro,Very High,7000
Glooth Club,,,Flint|Outro,Low,1500
glooth injection tube,550,,Outro|Yasir,Medium,350
Glorious Axe,,,Djinn,Low,3000
Glowing Rune,,,Yasir,Low,350
Goanna Claw,,,Yasir,Medium,260
Goanna Meat,,,Yasir,High,190
Gold Tooth,,,Yasir,Medium,120
gold-brocaded cloth,,Powerful Punch x15,,,
Golden Legs,,,Rashid,Very High,30000
Golden Lotus Brooch,,,Yasir,Low,270
Golden Sickle,,,Others|Outro,Low,1000
Golden Sun Coin,,,Yasir,Very High,11000
goosebump leather,,Powerful Featherweight x5,,,
Gore Horn,,,Outro|Yasir,Very High,2900
Gorerilla Mane,,,Outro|Yasir,Very High,2750
Gorerilla Tail,,,Outro|Yasir,Very High,2650
Gorger Antlers,,,Yasir,Very High,2250
Grappling Hook,,,Outro|Yasir,Medium,150
green bandage,503,,Yasir,Medium,180
green dragon leather,,Basic Dragon Hide x20|Intricate Dragon Hide x20|Powerful Dragon Hide x20,,,
green dragon scale,,Intricate Scorch x5|Powerful Scorch x5,,,
Guardian Shield,,,Djinn,Low,2000
halberd,274,,Others|Outro,Low,400
half-digested stones,35,,Outro|Yasir,Low,40
half-eaten brain,1266,,Outro|Yasir,Medium,85
Hand,,,Yasir,Very High,1450
Harpy Feathers,,,Yasir,High,730
Head (Brachiodemon),,,Yasir,Very High,3500
Head (Many Faces),,,Yasir,Very High,3200
Headpecker Beak,,,Outro|Yasir,Very High,2800
Headpecker Feather,,,Outro|Yasir,Very High,1300
Heart Amphora,,,Yasir,Low,930
Heavy Machete,,,Rashid,Medium,90
Heavy Trident,,,Rashid,Low,2000
