side,price,units
sell,409,818
sell,410,111
sell,411,50
sell,418,67
sell,419,3
sell,420,14
sell,450,1
sell,496,147
sell,497,18
sell,498,422
sell,500,161
sell,555,3
sell,557,7
sell,559,20
sell,560,152
sell,628,37
sell,649,50
sell,650,500
sell,675,398
sell,676,50
sell,677,226
sell,679,50
sell,680,68
sell,700,9
sell,766,17
sell,775,50
sell,776,32
sell,777,18
sell,779,50
sell,780,92
sell,795,27
sell,798,55
sell,798,1333
sell,800,19
sell,975,100
sell,999,61
sell,1000,48
sell,1895,3
sell,1896,12
sell,1898,47
sell,1900,32
sell,5000,17
buy,201,52
buy,200,93
buy,165,94
buy,164,198
buy,157,71
buy,156,77
buy,154,948
buy,109,101
buy,107,97
buy,106,956
