item_id,item,instant,top_buy,fair,shelf,shelf_units,patient,upside,depth_units,n_sell,n_buy,n_sell_red,captured_at
11492,rope belt,5096,4554,4315,5207,316,5097,0.205,3001,37,30,0,2026-09-14 21:37
9685,vampire teeth,491,300,300,499,1177,492,0.667,1,26,1,12,2026-09-14 21:38
10296,acorn,2327,1952,1853,2599,24,2328,0.403,241,24,5,12,2026-09-14 21:31
9632,ancient stone,1436,,,1445,419,1437,,,9,0,28,2026-09-14 21:31
3447,arrow,2,2,2,3,25215,3,0.5,7131,2,1,1,2026-09-14 21:24
7368,assassin star,14,4,4,16,13589,15,3.0,1685,5,1,7,2026-09-14 21:28
10299,badger fur,14,4,4,15,9,15,2.75,5094,4,1,7,2026-09-14 21:31
3305,battle hammer,114,112,112,129,20,115,0.071,254,10,1,0,2026-09-14 21:26
11447,battle stone,289,136,128,300,568,290,1.344,836,3,5,1,2026-09-14 21:31
8017,beetroot,8,,,10,389,9,,,10,0,1,2026-09-14 21:09
3027,black pearl,279,235,231,299,1015,280,0.294,1238,9,4,2,2026-09-14 21:21
3147,blank rune,,9,7,,,,,3605,0,5,0,2026-09-14 21:19
16131,blazing bone,787,421,363,788,186,788,1.171,2108,6,11,6,2026-09-14 21:31
18928,blood tincture in a vial,2399,1850,1406,2418,179,2400,0.72,181,20,5,25,2026-09-14 21:32
17827,bloody dwarven beard,110,82,78,111,288,111,0.423,4587,7,7,0,2026-09-14 21:32
16119,blue crystal shard,1495,1360,1347,1497,235,1496,0.112,918,6,7,0,2026-09-14 21:21
16124,blue crystal splinter,699,385,349,799,99,700,1.117,1371,6,7,19,2026-09-14 21:21
9667,boggy dreads,2166,1621,1494,2299,35,2167,0.539,631,19,7,37,2026-09-14 21:32
3446,bolt,2,2,1,3,7195,3,2.0,20295,1,2,3,2026-09-14 21:24
10404,bone shoulderplate,408,201,158,409,818,409,1.589,1388,6,7,36,2026-09-14 21:32
3338,bone sword,24,,,25,80,25,,,1,0,9,2026-09-14 21:28
10277,bony tail,,201,183,,,,,4310,0,9,32,2026-09-14 21:32
3350,bow,98,40,40,123,6392,99,2.075,532,8,1,0,2026-09-14 21:28
3354,brass helmet,39,26,26,40,12,40,0.538,309,3,1,2,2026-09-14 21:11
3411,brass shield,52,22,22,53,2,53,1.409,429,2,1,0,2026-09-14 21:19
50056,brinebrute claw,,10000,7714,,,,,638,0,13,1,2026-09-14 21:32
11451,broken crossbow,29,,,30,19,30,,,3,0,5,2026-09-14 21:32
10418,broken halberd,,1411,1404,,,,,531,0,5,8,2026-09-14 21:32
11453,broken helmet,31,11,8,32,17,32,3.0,0,1,3,32,2026-09-14 21:32
44438,broken Mitmah necklace,,150,146,,,,,2609,0,2,2,2026-09-14 21:32
17851,broken throwing axe,1474,751,736,1496,1802,1475,1.034,897,4,5,10,2026-09-14 21:32
20184,broken visor,,606,578,,,,,50,0,2,3,2026-09-14 21:32
