id,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,loot_h,balance_h,supplies_total,supplies_known,has_creature_stats,event_flag,url
47433,Rootthings -2 (Podzilla),"May 16, 2026 09:18",01:32h,92,4,MS 860+ED 980+EK 986+RP 942,860,986,942,38421769,12601901,5271261,3516202,2691089,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47433
47436,Rootthings -2 (Podzilla),"May 16, 2026 11:13",01:26h,86,4,MS 860+ED 980+EK 986+RP 942,860,986,942,34689483,12114591,4986174,3285535,2437583,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47436
47548,Rootthings -2 (Podzilla),"May 18, 2026 09:17",01:28h,88,4,MS 866+ED 984+EK 990+RP 948,866,990,947,34413589,12443985,5080261,3218839,2730085,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47548
56517,Quaras Podzilla,"Sep 10, 2026 20:11",01:06h,66,1,MS 1086,1086,1086,1086,33741467,13915512,2374711,2374327,422,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56517
47353,Rootthings -2 (Podzilla),"May 15, 2026 09:21",01:30h,90,4,MS 858+ED 977+EK 984+RP 940,858,984,940,32988994,12005647,5170567,3583308,2380888,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47353
47363,Rootthings -2 (Podzilla),"May 15, 2026 11:19",01:29h,89,4,MS 858+ED 977+EK 984+RP 940,858,984,940,31770138,11451865,4815506,3186873,2415805,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47363
56657,Quaras Podzilla,"Sep 11, 2026 23:39",01:06h,66,1,MS 1086,1086,1086,1086,31351750,13358831,2053045,2005647,52138,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56657
50187,True asuras,"Jul 02, 2026 18:15",00:22h,22,2,ED 731+EK 734,731,734,732,31222404,13876194,3877189,3276730,220168,1,1,0,https://www.hunt-analyser.com/hunt_sessions/50187
56645,Quaras Podzilla,"Sep 11, 2026 22:04",01:06h,66,1,MS 1086,1086,1086,1086,30348861,13833180,2531636,2530546,1199,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56645
56931,Podzilla Quaras,"Sep 14, 2026 21:35",02:06h,126,1,MS 910,910,910,910,26803598,10939691,2320544,2248862,150530,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56931
57028,Podzilla Quaras,"Sep 15, 2026 22:02",01:46h,106,1,MS 912,912,912,912,24708903,11639020,2614291,2570896,76664,1,1,0,https://www.hunt-analyser.com/hunt_sessions/57028
56841,Podzilla Quaras,"Sep 13, 2026 21:35",02:14h,134,1,MS 909,909,909,909,23684524,10975401,2550560,2156436,880210,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56841
56743,Podzilla Quaras,"Sep 12, 2026 23:46",01:21h,81,1,MS 908,908,908,908,23588772,11496259,2428654,2380011,65668,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56743
45112,Grounds of Fire (Infernatil),"Mar 20, 2026 23:05",01:02h,62,1,ED 1292,1292,1292,1292,22640122,10078895,1946375,1785845,165880,1,1,0,https://www.hunt-analyser.com/hunt_sessions/45112
56670,Teste 1 Quara Podizilla,"Sep 12, 2026 05:17",01:00h,60,1,MS 957,957,957,957,22430557,8785265,1467950,1355766,112184,1,1,0,https://www.hunt-analyser.com/hunt_sessions/56670
38400,Prison -3 Demon Boost 03,"Oct 17, 2025 01:05",01:47h,107,2,MS 800+EK 821,800,821,810,22273671,8676145,2804320,2455058,622851,1,1,0,https://www.hunt-analyser.com/hunt_sessions/38400
55588,West Roshamuul (SOLO RP),"Sep 01, 2026 03:31",00:47h,47,1,RP 932,932,932,932,21647152,13480454,2425371,1988678,342076,1,1,0,https://www.hunt-analyser.com/hunt_sessions/55588
55738,Podzilla Quaras,"Sep 02, 2026 21:50",02:00h,120,1,MS 901,901,901,901,21477751,9589163,2081464,1912473,337981,1,1,0,https://www.hunt-analyser.com/hunt_sessions/55738
44487,True asuras,"Mar 06, 2026 21:07",02:26h,146,2,EK 613+ED 613,613,613,613,20150705,5125685,3201112,2631396,1386306,1,1,0,https://www.hunt-analyser.com/hunt_sessions/44487
45875,Quaras duo,"Apr 10, 2026 18:58",00:57h,57,2,ED 1358+EM 1177,1177,1358,1268,19165270,10789764,2624054,1608687,964598,1,1,0,https://www.hunt-analyser.com/hunt_sessions/45875
49294,cobra bastion,"Jun 21, 2026 20:31",01:08h,68,1,EK 652,652,652,652,18771766,7415715,1594417,795643,905277,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49294
50336,Burster Spectres,"Jul 04, 2026 05:08",00:30h,30,1,RP 657,657,657,657,17608500,4695600,722878,546422,88228,1,1,0,https://www.hunt-analyser.com/hunt_sessions/50336
54319,Werelions -1,"Aug 18, 2026 11:25",00:30h,30,1,RP 683,683,683,683,17464616,13646426,1642660,1440182,101239,1,1,0,https://www.hunt-analyser.com/hunt_sessions/54319
53422,Roshamuul DP,"Aug 09, 2026 18:31",02:17h,137,1,RP 1100,1100,1100,1100,17364049,9509254,3090824,2732461,818261,1,1,0,https://www.hunt-analyser.com/hunt_sessions/53422
44528,True Asura [3/7],"Mar 07, 2026 04:36",03:10h,190,3,ED 638+RP 576+EK 642,576,642,619,16796633,3977644,2879968,2254095,1981931,1,1,0,https://www.hunt-analyser.com/hunt_sessions/44528
45127,True asuras,"Mar 21, 2026 16:04",03:15h,195,2,EK 626+ED 626,626,626,626,16722116,7570638,3406546,2912756,1604817,1,1,0,https://www.hunt-analyser.com/hunt_sessions/45127
