id,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,loot_h,balance_h,supplies_total,supplies_known,has_creature_stats,event_flag,url
50575,lavas with prey,"Jul 07, 2026 10:44",01:43h,103,1,ED 173,173,173,173,3774798,1804181,0,-185119,317787,1,1,0,https://www.hunt-analyser.com/hunt_sessions/50575
49116,gazer sceptre,"Jun 19, 2026 18:37",00:30h,30,1,ED 180,180,180,180,3708180,2472120,570976,272654,149161,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49116
49117,gazer sceptre,"Jun 19, 2026 15:06",00:35h,35,1,ED 180,180,180,180,3586102,1881702,544286,278794,154870,1,1,0,https://www.hunt-analyser.com/hunt_sessions/49117
43152,Asura Palace,"Feb 01, 2026 23:38",00:44h,44,3,EM 161+ED 181+EK 156,156,181,166,2593884,1282183,645465,89908,407408,1,1,0,https://www.hunt-analyser.com/hunt_sessions/43152
43487,Gazer Spectres,"Feb 11, 2026 23:34",00:58h,58,3,ED 196+EM 178+EK 178,178,196,184,2290995,1527331,768844,-74685,815411,1,1,0,https://www.hunt-analyser.com/hunt_sessions/43487
43825,Ripper Spectres,"Feb 19, 2026 22:30",01:49h,109,4,ED 216+EM 197+EK 203+RP 184,184,216,200,2087816,1391881,879241,36281,1531375,1,1,0,https://www.hunt-analyser.com/hunt_sessions/43825
46748,,"May 02, 2026 05:20",00:36h,36,2,ED 165+EM 167,165,167,166,2014720,671573,258012,-15504,164109,1,1,0,https://www.hunt-analyser.com/hunt_sessions/46748
55180,Ravenous Lava Lurker #1,"Aug 27, 2026 09:28",00:10h,10,1,EM 176,176,176,176,1887918,0,0,-38940,6490,1,1,0,https://www.hunt-analyser.com/hunt_sessions/55180
43629,Gazers Spectres,"Feb 15, 2026 23:04",01:18h,78,3,ED 203+EM 185+EK 187,185,203,192,1863973,944165,610687,38625,743680,1,1,0,https://www.hunt-analyser.com/hunt_sessions/43629
52356,Dark Fauns -2,"Jul 29, 2026 02:41",00:30h,30,1,RP 169,169,169,169,1711696,0,399498,327484,36007,1,1,0,https://www.hunt-analyser.com/hunt_sessions/52356
52059,Vampire Crypt (Edron),"Jul 25, 2026 00:41",00:57h,57,1,RP 169,169,169,169,1376977,0,394573,367134,26066,1,1,0,https://www.hunt-analyser.com/hunt_sessions/52059
43941,mini rosha,"Feb 23, 2026 05:07",00:33h,33,1,,0,0,150,1161545,0,87358,87358,0,0,1,0,https://www.hunt-analyser.com/hunt_sessions/43941
43891,Glooth Bandit,"Feb 21, 2026 21:31",01:42h,102,1,MS 195,195,195,195,845701,845701,303631,205208,167317,1,1,0,https://www.hunt-analyser.com/hunt_sessions/43891
51512,Hero Fortres,"Jul 17, 2026 19:32",00:41h,41,1,ED 121,121,121,121,833152,555459,130117,94476,24354,1,1,0,https://www.hunt-analyser.com/hunt_sessions/51512
47748,Exotic Cave,"May 22, 2026 15:49",00:33h,33,1,EK 147,147,147,147,746934,0,183958,-1199,101836,1,1,0,https://www.hunt-analyser.com/hunt_sessions/47748
48262,Ripper Spectre,"Jun 03, 2026 19:27",00:51h,51,3,ED 200+MS 171+EK 205,171,205,192,0,0,621488,160564,391785,1,0,0,https://www.hunt-analyser.com/hunt_sessions/48262
