spawn,item,item_id,instant,fair,patient,price_date,n_sessions_spawn,creatures
Crypt Warrior,bones,22159,,,,,2,Crypt Warrior
Crypt Warrior,pelvis bones,11481,12,2,85,2026-09-14 21:36,2,Crypt Warrior
Crypt Warrior,platinum coins,,,,,,2,Crypt Warrior
Crypt Warrior,soul orbs,5944,22,20,30,2026-09-14 21:24,2,Crypt Warrior
Crypt Warrior,unholy bones,10316,551,129,795,2026-09-14 21:38,2,Crypt Warrior
Crypt Warrior,white mushrooms,3723,3,3,5,2026-09-14 21:10,2,Crypt Warrior
Edron Vampire Crypts,bones,22159,,,,,1,Bonebeast
Edron Vampire Crypts,bony tails,10277,201,180,435,2026-09-14 21:32,1,Bonebeast
Edron Vampire Crypts,books of necromantic rituals,,,,,,1,Necromancer
Edron Vampire Crypts,demonic skeletal hands,9647,57,51,79,2026-09-14 21:33,1,Demon Skeleton
Edron Vampire Crypts,gold coins,,,,,,1,Bonebeast|Demon Skeleton|Necromancer|Vampire|Vampire Bride|Vampire Viscount
Edron Vampire Crypts,platinum coins,,,,,,1,Vampire Bride
Edron Vampire Crypts,poison arrows,3448,1,1,2,2026-09-14 21:24,1,Necromancer
Edron Vampire Crypts,skulls,3114,1,1,118,2026-09-14 21:17,1,Bonebeast
Edron Vampire Crypts,strong mana potions,237,109,100,117,2026-09-14 21:18,1,Vampire Bride
Edron Vampire Crypts,throwing stars,3287,,,96,2026-09-14 21:28,1,Demon Skeleton
Edron Vampire Crypts,vampire teeth,9685,300,201,492,2026-09-14 21:38,1,Vampire Bride
Port Hope Spider Cave,gold coins,,,,,,2,Giant Spider|Tarantula
Port Hope Spider Cave,plate armors,3357,121,112,349,2026-09-14 21:02,2,Giant Spider
Port Hope Spider Cave,poison arrows,3448,1,1,2,2026-09-14 21:24,2,Giant Spider
Port Hope Spider Cave,tarantula eggs,10281,91,90,279,2026-09-14 21:38,2,Tarantula
Port Hope Water Elementals (South),fish,3578,,,4,2026-09-14 21:10,1,Water Elemental
Port Hope Water Elementals (South),gold coins,,,,,,1,Quara Mantassin Scout|Water Elemental
Port Hope Water Elementals (South),platinum coins,,,,,,1,Water Elemental
Port Hope Water Elementals (South),strong health potions,236,5,3,11,2026-09-14 21:18,1,Water Elemental
Port Hope Water Elementals (South),strong mana potions,237,109,100,117,2026-09-14 21:18,1,Water Elemental
Liberty Bay Quara Grotto,fish,3578,,,4,2026-09-14 21:10,1,Quara Hydromancer Scout
Liberty Bay Quara Grotto,gold coins,,,,,,1,Quara Constrictor|Quara Constrictor Scout|Quara Hydromancer|Quara Hydromancer Scout|Quara Mantassin|Quara Mantassin Scout
Liberty Bay Quara Grotto,great health potions,239,8,4,15,2026-09-14 21:18,1,Quara Pincher
Liberty Bay Quara Grotto,mantassin tails,11489,939,932,1275,2026-09-14 21:35,1,Quara Mantassin
Liberty Bay Quara Grotto,platinum coins,,,,,,1,Quara Pincher
Liberty Bay Quara Grotto,quara bones,11491,477,460,600,2026-09-14 21:37,1,Quara Predator|Quara Predator Scout
