spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
40 min hyeans -2 south,Werehyaena,629.4,1,89,56015,halberds|274||werehyaena noses|159||platinum coins|—||meat|—|
40 min hyeans -2 south,Werehyaena Shaman,264.5,1,89,23539,small amethysts|172||werehyaena noses|159||great mana potions|32||platinum coins|—|
Asura (Mirror),Dawnfire Asura,379.0,1,142,53818,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura (Mirror),Midnight Asura,363.0,1,142,51546,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura (Mirror),Frost Flower Asura,112.0,1,142,15904,demonic essence|898||peacock feather fans|208||soul orbs|20||assassin stars|4|
Asura (Mirror),Hellspawn,128.0,1,96,12288,hellspawn tails|265||great health potions|—||gold coins|—|
Asura (Mirror),Nomad,1.0,1,466,466,gold coins|—|
Asura Mirror,Dawnfire Asura,640.9,2,142,91014,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura Mirror,Midnight Asura,581.2,2,142,82524,demonic essence|898||peacock feather fans|208||soul orbs|20||platinum coins|—|
Asura Mirror,Hellspawn,205.3,2,96,19705,hellspawn tails|265||great health potions|—||gold coins|—|
Asura Mirror,Frost Flower Asura,117.1,2,142,16628,demonic essence|898||peacock feather fans|208||soul orbs|20||assassin stars|4|
Asura Mirror,True Dawnfire Asura,1.3,1,466,588,
Asura Mirror,Crocodile,0.3,1,146,46,pieces of crocodile leather|—||ham|—||gold coins|—|
BOOK WORLD,Lion Hydra,443.8,1,99,43933,platinum coins|—||gold coins|—|
BOOK WORLD,Bluebeak,413.2,1,99,40907,platinum coins|—||gold coins|—|
Banuta -4,Medusa,97.5,1,606,59085,ultimate health potions|91||great mana potions|32||strands of medusa hair|—||platinum coins|—|
Banuta -4,Souleater,94.8,1,606,57461,lizard essences|191||platinum coins|—||gold coins|—|
Banuta -4,Eternal Guardian,72.3,1,606,43826,spiked iron balls|51||small stones|5||platinum coins|—||gold coins|—|
Banuta -4,Hydra,44.5,1,606,26945,hydra heads|442||platinum coins|—||ham|—||gold coins|—|
Banuta -4,Serpent Spawn,69.6,1,113,7869,small sapphires|214||snake skins|205||green mushrooms|88||gold coins|—|
Banuta -4,Terrified Elephant,5.4,1,606,3246,
Banuta -4,Scarab,3.2,1,606,1947,meat|—||gold coins|—|
Banuta -4,Ancient Scarab,2.1,1,606,1298,magic light wands|—||gold coins|—|
Banuta -4,Werelion,13.4,1,95,1272,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
Banuta -4,Werelioness,12.3,1,95,1170,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
Banuta -4,Larva,1.6,1,606,973,gold coins and meat |—|
Banuta -4,Bear,1.1,1,606,649,meat|—||ham|—|
Banuta -4,Wolf,1.1,1,606,649,meat|—|
Banuta -4,White Lion,6.4,1,95,610,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
Banuta -4,Nomad,1.1,1,466,499,gold coins|—|
Banuta -4,Frost Troll,0.5,1,606,324,spears|1||wooden shields|—||rapiers|—||gold coins|—|
Banuta -4,Centipede,0.5,1,606,324,centipede legs and gold coins |—|
Banuta -4,Scorpion,0.5,1,606,324,
Banuta -4,The Noxious Spawn,0.5,1,606,324,
Banuta -4,Gorgo,0.5,1,606,324,
Banuta -4,Hyaena,0.5,1,230,123,meat and worms |—|
Banuta -4,Bat,2.7,1,39,104,
Banuta -4,Bonebeast,2.1,1,10,21,bony tails|183||skulls|1||gold coins|—||bones|—|
Behemoth (Cyclopolis),Behemoth,252.0,1,78,19656,battle stones|128||assassin stars|4||platinum coins|—||meat|—|
Behemoth (Cyclopolis),Cyclops Drone,120.0,1,78,9360,meat|—||gold coins|—|
Behemoth (Cyclopolis),Cyclops Smith,68.0,1,78,5304,cyclops toes|27||meat|—||gold coins|—|
Behemoth (Cyclopolis),Dwarf Soldier,36.0,1,78,2808,white mushrooms|3||shovels|1||bolts|1||soldier helmets|—|
Behemoth (Cyclopolis),Cyclops,36.0,1,78,2808,meat|—||gold coins|—|
Behemoth (Cyclopolis),Dragon,12.0,1,78,936,crossbows|54||steel shields|17||gold coins|—||dragon&#39;s tails|—|
Burster Spectre,Burster Spectre,612.0,1,132,80784,great spirit potions|113||platinum coins|—|
Burster Spectres,Burster Spectre,788.7,3,132,104108,great spirit potions|113||platinum coins|—|
Caminho de Ferumbras,Vexclaw,289.3,1,470,135986,demonic essence|898||fire mushrooms|176||great spirit potions|113||ultimate health potions|91|
Caminho de Ferumbras,Grimeleech,256.0,1,490,125440,some grimeleech wings|1160|🧪|demonic essence|898||great spirit potions|113||great mana potions|32|
Caminho de Ferumbras,Demon,320.0,1,300,96000,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Caminho de Ferumbras,Hellflayer,64.0,1,490,31360,demonic essence|898||great spirit potions|113||ultimate health potions|91||great mana potions|32|
Crumbling Caverns,Cinder Wyrmling,535.7,2,142,76065,platinum coins|—||gold coins|—|
Crumbling Caverns,Shell Drake,413.1,2,135,55768,platinum coins|—||gold coins|—|
Crypt Warrior,Crypt Warrior,819.9,2,104,85272,unholy bones|289||soul orbs|20||pelvis bones|11||white mushrooms|3|
Cults Carlin,Vicious Squire,295.7,1,29,8575,crossbows|54||bolts|1||meat|—||gold coins|—|
Cults Carlin,Cult Believer,263.6,1,4,1054,meat|—||gold coins|—|
Cults Carlin,Renegade Knight,212.1,1,4,848,platinum coins|—||gold coins|—|
Cults Carlin,Cult Enforcer,162.9,1,4,651,meat|—||gold coins|—|
Cults Carlin,Vile Grandmaster,143.6,1,4,574,platinum coins|—||meat|—||gold coins|—|
Dark Fauns -2,Dark Faun,524.0,1,48,25152,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Dark Fauns -2,Twisted Pooka,432.0,1,48,20736,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Dark Fauns -2,Boogy,230.0,1,48,11040,shimmering beetles|1000|📦|fairy wings|106|🧪|strong health potions|4||gold coins|—|
Demon Goroma,Fire Elemental,240.0,1,206,49440,nothing |—|
Demon Goroma,Demon,104.3,1,300,31278,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Demon Goroma,Demon Skeleton,89.5,1,175,15663,demonic skeletal hands|51||throwing stars|—||gold coins|—|
Demon Goroma,Hellhound,25.6,1,460,11763,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
Demon Goroma,Dragon Lord,35.4,1,95,3363,green mushrooms|88||gold coins|—||dragon ham|—|
Demons Edron,Demon,50.4,1,300,15107,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Demons Edron,Dark Apprentice,4.3,1,300,1285,gold coins|—||dead frogs|—|
Demons Edron,Massive Fire Elemental,8.6,1,95,814,platinum coins|—||gold coins|—|
Demons Edron,Dark Magician,2.1,1,300,642,mana potions|47||health potions|24||blank runes|7||gold coins|—|
"Duo buried -2 ED, EK",Ripper Spectre,278.4,1,183,50947,two handed swords|238||great spirit potions|113||platinum coins|—|
"Duo buried -2 ED, EK",Arachnophobica,240.0,1,187,44880,great spirit potions|113||platinum coins|—|
"Duo buried -2 ED, EK",Gazer Spectre,172.8,1,178,30758,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
"Duo buried -2 ED, EK",Burster Spectre,19.2,1,132,2534,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Arachnophobica,316.2,1,187,59132,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Burster Spectre,371.4,1,132,49018,great spirit potions|113||platinum coins|—|
Duo burried cathedral,Gazer Spectre,193.0,1,178,34349,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
Duo burried cathedral,Ripper Spectre,68.1,1,183,12463,two handed swords|238||great spirit potions|113||platinum coins|—|
Edron Vampire Crypts,Demon Skeleton,50.3,1,175,8797,demonic skeletal hands|51||throwing stars|—||gold coins|—|
Edron Vampire Crypts,Vampire,120.0,1,23,2760,gold coins|—|
Edron Vampire Crypts,Necromancer,113.5,1,10,1135,poison arrows|1||gold coins|—||books of necromantic rituals|—|
Edron Vampire Crypts,Bonebeast,110.3,1,10,1102,bony tails|183||skulls|1||gold coins|—||bones|—|
Edron Vampire Crypts,Vampire Bride,21.1,1,23,484,vampire teeth|300|🧪|strong mana potions|100||platinum coins|—||gold coins|—|
Edron Vampire Crypts,Vampire Viscount,17.8,1,23,410,gold coins|—|
Feru way,Grimeleech,263.5,1,490,129104,some grimeleech wings|1160|🧪|demonic essence|898||great spirit potions|113||great mana potions|32|
Feru way,Vexclaw,272.2,1,470,127921,demonic essence|898||fire mushrooms|176||great spirit potions|113||ultimate health potions|91|
Feru way,Demon,297.4,1,300,89217,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
Feru way,Hellflayer,86.1,1,490,42182,demonic essence|898||great spirit potions|113||ultimate health potions|91||great mana potions|32|
GAZER SPECTRE +21% DMG BOUNTY,Gazer Spectre,625.5,1,178,111344,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
