spawn,profit_computed_h,coverage,n_sessions,measured_loot_h,valued,missing
True asuras,857873,1.0,8,3813291,Hellhound 172/h×552;Hellspawn 2/h×112;Hyaena 14/h×276;Nomad 1/h×560;True Dawnfire Asura 555/h×560;True Frost Flower Asura 149/h×531;True Midnight Asura 667/h×552,
North Roshamuul (South - SOLO RP),617954,1.0,1,5256546,Choking Fear 700/h×307;Frazzlemaw 300/h×298;Retching Horror 746/h×307;Silencer 284/h×298,
Roshamuul DP,595557,1.0,3,2865829,Choking Fear 728/h×307;Frazzlemaw 263/h×298;Retching Horror 675/h×307;Silencer 291/h×298,
West Roshamuul (SOLO RP),497115,1.0,1,2425371,Frazzlemaw 748/h×298;Guzzlemaw 342/h×291;Retching Horror 1/h×307;Sight of Surrender 1/h×298;Silencer 583/h×298,
Upper Roshamuul,483114,1.0,1,2433468,Choking Fear 561/h×307;Frazzlemaw 266/h×298;Retching Horror 554/h×307;Silencer 206/h×298,
💀 Choking Fear – Bounty Hunt (Upper Roshamuul North),472500,1.0,1,2414562,Choking Fear 694/h×307;Retching Horror 550/h×307;Silencer 304/h×298,
Quaras Podzilla,466868,1.0,3,2374711,Quara Looter 495/h×315;Quara Plunderer 330/h×315;Quara Raider 657/h×315,
Caminho de Ferumbras,466544,1.0,1,2620800,Demon 320/h×360;Grimeleech 256/h×588;Hellflayer 64/h×588;Vexclaw 289/h×564,
Feru way,466111,1.0,1,2702619,Demon 297/h×360;Grimeleech 263/h×588;Hellflayer 86/h×588;Vexclaw 272/h×564,
❄️ Iceplume Strider – Bounty Hunt,442871,1.0,1,2532536,Iceplume Strider 352/h×317;Silverfrost Sentinel 376/h×317;True Frost Flower Asura 318/h×531;True Midnight Asura 79/h×552,
Roshamuul West,436503,1.0,2,2127078,Frazzlemaw 664/h×298;Guzzlemaw 306/h×291;Sight of Surrender 2/h×298;Silencer 500/h×298,
❄️ Iceplume Strider – Test Hunt,410556,1.0,1,1699935,Iceplume Strider 369/h×317;Silverfrost Sentinel 375/h×317;True Frost Flower Asura 276/h×531;True Midnight Asura 51/h×552,
Podzilla Quaras,391152,1.0,9,2428654,Quara Looter 361/h×315;Quara Plunderer 293/h×315;Quara Raider 588/h×315,
cobra bastion,318137,1.0,1,1594417,Cobra Assassin 516/h×316;Cobra Scout 318/h×316;Cobra Vizier 173/h×316,
Teste 1 Quara Podizilla,309960,1.0,1,1467950,Quara Looter 300/h×315;Quara Plunderer 232/h×315;Quara Raider 452/h×315,
Teste 2 Quara Podizilla,309192,1.0,1,1452054,Quara Looter 321/h×315;Quara Plunderer 233/h×315;Quara Raider 428/h×315,
Quara (bestiary),278775,1.0,1,1278075,Quara Looter 293/h×315;Quara Plunderer 205/h×315;Quara Raider 386/h×315,
Weretiger -2,271939,1.0,1,1437871,Cunning Werepanther 605/h×223;Weretiger 394/h×223;White Weretiger 221/h×223,
Norc Castle,261808,1.0,1,1327660,Dworc Shadowstalker 8/h×242;Gloom Maw 44/h×242;Norcferatu Heartless 360/h×242;Norcferatu Nightweaver 352/h×242;Orclops Bloodbreaker 64/h×242;Tarantula 16/h×28;Varg 252/h×242,
Asura Mirror,251418,1.0,2,1096374,Crocodile 0/h×176;Dawnfire Asura 641/h×170;Frost Flower Asura 117/h×170;Hellspawn 205/h×112;Midnight Asura 581/h×170;True Dawnfire Asura 1/h×560,
Banuta -4,251119,1.0,1,1580618,Ancient Scarab 2/h×727;Bat 3/h×46;Bear 1/h×727;Bonebeast 2/h×12;Centipede 1/h×727;Eternal Guardian 72/h×727;Frost Troll 1/h×727;Gorgo 1/h×727;Hyaena 1/h×276;Hydra 44/h×727,
Ripper Spectre,237861,1.0,5,1477480,Arachnophobica 504/h×218;Ripper Spectre 601/h×213,
Weretigers -1,212941,1.0,1,1331313,Cunning Werepanther 488/h×223;Weretiger 326/h×223;White Weretiger 142/h×223,
Werelion -1,184331,1.0,1,1246608,Werelion 683/h×111;Werelioness 728/h×111;White Lion 250/h×111,
Duo burried cathedral,180768,1.0,1,1262110,Arachnophobica 316/h×218;Burster Spectre 371/h×154;Gazer Spectre 193/h×208;Ripper Spectre 68/h×213,
demons goroma 30m,180705,1.0,1,733009,Demon 144/h×360;Demon Skeleton 126/h×211;Dragon Lord 69/h×111;Fire Elemental 334/h×248;Hellhound 21/h×552,
Weretigers -2,175947,1.0,1,1058360,Cunning Werepanther 398/h×223;Weretiger 251/h×223;White Weretiger 140/h×223,
Medusa Tower,163773,1.0,1,498302,Behemoth 155/h×91;Clay Guardian 117/h×136;Gargoyle 6/h×136;Medusa 122/h×727;Omnivora 115/h×136;Serpent Spawn 212/h×136;Stone Golem 3/h×33,
Asura (Mirror),160076,1.0,1,776212,Dawnfire Asura 379/h×170;Frost Flower Asura 112/h×170;Hellspawn 128/h×112;Midnight Asura 363/h×170;Nomad 1/h×560,
Gazer Spectres,157338,1.0,1,944206,Gazer Spectre 666/h×208;Thanatursus 90/h×209,
Werelions -1,154560,1.0,2,1074876,Werelion 566/h×111;Werelioness 649/h×111;White Lion 177/h×111,
Crumbling Caverns,153242,1.0,2,920781,Cinder Wyrmling 536/h×165;Shell Drake 413/h×157,
"Duo buried -2 ED, EK",150518,1.0,1,1054200,Arachnophobica 240/h×218;Burster Spectre 19/h×154;Gazer Spectre 173/h×208;Ripper Spectre 278/h×213,
GAZER SPECTRE +21% DMG BOUNTY,146919,1.0,1,888391,Gazer Spectre 626/h×208;Thanatursus 80/h×209,
Gazer Spectre,137339,1.0,1,916227,Gazer Spectre 601/h×208;Thanatursus 59/h×209,
Werelion -1 (post nerf),137074,1.0,1,824888,Werelion 504/h×111;Werelioness 556/h×111;White Lion 173/h×111;Yirkas Blue Scales 1/h×111,
Demon Goroma,133987,1.0,1,614122,Demon 104/h×360;Demon Skeleton 90/h×211;Dragon Lord 35/h×111;Fire Elemental 240/h×248;Hellhound 26/h×552,
Burster Spectres,121460,1.0,3,734494,Burster Spectre 789/h×154,
gazer sceptre,107301,1.0,2,557631,Gazer Spectre 513/h×208;Thanatursus 3/h×209,
Werehyena MS 290+,105068,1.0,1,666534,Werehyaena 637/h×104;Werehyaena Shaman 373/h×104,
Crypt Warrior,100031,1.0,2,572984,Crypt Warrior 820/h×122,
BOOK WORLD,98552,1.0,1,594240,Bluebeak 413/h×115;Lion Hydra 444/h×115,
Gnomegate Lava Hot Spot,97502,1.0,1,585235,Dragon Lord 168/h×111;Massive Fire Elemental 283/h×111;Vulcongra 427/h×111,
Roshamuul,96302,1.0,1,494349,Frazzlemaw 203/h×298;Shock Head 11/h×306;Silencer 109/h×298,
Burster Spectre,94248,1.0,1,446932,Burster Spectre 612/h×154,
40 min hyeans -2 south,92963,1.0,1,594542,Werehyaena 629/h×104;Werehyaena Shaman 264/h×104,
Lower Spike,82326,1.0,1,460066,Behemoth 79/h×91;Dragon Lord 48/h×111;Drillworm 90/h×80;Enslaved Dwarf 42/h×80;Lost Basher 154/h×80;Lost Husher 140/h×80;Lost Thrower 161/h×80;Nightmare Scion 6/h×26;Vulcongra 119/h×111;Wyrm 119/h×80,
Lycanthrope Grounds (Edron),77803,1.0,2,425895,Bloodback 4/h×92;Werebadger 208/h×92;Werebear 96/h×90;Wereboar 149/h×92;Werefox 246/h×92;Werewolf 149/h×90,
Dark Fauns -2,66416,1.0,1,399498,Boogy 230/h×56;Dark Faun 524/h×56;Twisted Pooka 432/h×56,
Glooth Tower,63143,1.0,1,1026130,Blood Beast 2/h×13;Devourer 266/h×13;Glooth Golem 341/h×75;Quara Constrictor Scout 7/h×14;Quara Hydromancer Scout 7/h×14;Quara Pincher Scout 5/h×14;Quara Predator Scout 5/h×14;Rot Elemental 187/h×13;Rustheap Golem 418/h×75,
Grim reaper Yalahar,53730,1.0,1,302500,Grim Reaper 535/h×100;Nightmare 4/h×26;Nightmare Scion 3/h×26,
Grim Reaper Yalahar,53000,1.0,1,406430,Grim Reaper 530/h×100,
demons Oramond 30 minutes,51237,1.0,1,327039,Death Blob 2/h×26;Demon 71/h×360;Devourer 1/h×13;Glooth Blob 8/h×12;Grim Reaper 55/h×100;Metal Gargoyle 60/h×322;Rot Elemental 4/h×13;Walker 2/h×322,
Grim Reaper (Yalahar),50533,1.0,2,285174,Grim Reaper 505/h×100,
Behemoth (Cyclopolis),47684,1.0,1,287960,Behemoth 252/h×91;Cyclops 36/h×91;Cyclops Drone 120/h×91;Cyclops Smith 68/h×91;Dragon 12/h×91;Dwarf Soldier 36/h×91,
werelions,46342,1.0,1,270708,Werelion 198/h×111;Werelioness 198/h×111;White Lion 22/h×111,
Hellspawn (Yalahar),45049,1.0,2,235279,Gozzler 9/h×112;Hellspawn 359/h×112;Plaguesmith 53/h×72,
Werehayena hunt,38391,1.0,1,231784,Werehyaena 241/h×104;Werehyaena Shaman 128/h×104,
buster spectre,38115,1.0,1,50034,Burster Spectre 248/h×154,
STONFIN 0908,33795,1.0,1,207196,Bat 13/h×46;Corym Charlatan 9/h×46;Corym Skirmisher 5/h×46;Feverish Citizen 5/h×46;Marsh Stalker 5/h×46;Snake 5/h×27;Stonerefiner 681/h×46;Swampling 3/h×46;Tarantula 17/h×28,
Vampire Crypt (Edron),33772,1.0,1,394573,Deer 1/h×27;Rabbit 1/h×27;Snake 9/h×27;Vampire 354/h×27;Vampire Bride 445/h×27;Vampire Viscount 379/h×27;Wisp 2/h×27;Wolf 2/h×727;Wyvern 2/h×33,
Sea serpent (Svargrond),26995,1.0,1,163787,Sea Serpent 318/h×38;Young Sea Serpent 392/h×38,
Demons Edron,21394,1.0,1,117918,Dark Apprentice 4/h×360;Dark Magician 2/h×360;Demon 50/h×360;Massive Fire Elemental 9/h×111,
Glooth Plains - Surface,18070,1.0,1,331234,Blood Beast 310/h×13;Devourer 278/h×13;Glooth Blob 416/h×12;Rot Elemental 418/h×13,
Glooth Plains - Surface (Oramond),17962,1.0,1,306191,Blood Beast 157/h×13;Devourer 233/h×13;Glooth Blob 497/h×12;Rot Elemental 533/h×13,
Edron Vampire Crypts,17583,1.0,1,62528,Bonebeast 110/h×12;Demon Skeleton 50/h×211;Necromancer 114/h×12;Vampire 120/h×27;Vampire Bride 21/h×27;Vampire Viscount 18/h×27,
Hero Fortres,17039,1.0,1,130117,Bonebeast 94/h×12;Dwarf Henchman 47/h×33;Hero 143/h×33;Lich 4/h×33;Mad Technomancer 1/h×33;Mechanical Fighter 3/h×33;Rat 1/h×33;Renegade Knight 50/h×5;Stone Golem 6/h×33;Vicious Squire 247/h×33,
Cults Carlin,13669,1.0,1,70037,Cult Believer 264/h×5;Cult Enforcer 163/h×5;Renegade Knight 212/h×5;Vicious Squire 296/h×33;Vile Grandmaster 144/h×5,
Yalahar Bog Raiders Central,12532,1.0,1,75424,Acid Blob 2/h×26;Bog Raider 296/h×26;Death Blob 66/h×26;Mutated Tiger 20/h×26;Nightmare 34/h×26;Nightmare Scion 64/h×26,
Port Hope Spider Cave,8922,1.0,2,57963,Giant Spider 276/h×20;Tarantula 122/h×28,
Port Hope Water Elementals (South),6221,1.0,1,39651,Quara Mantassin Scout 75/h×14;Water Elemental 369/h×14,
Liberty Bay Quara Grotto,5307,1.0,1,66622,Quara Constrictor 44/h×14;Quara Constrictor Scout 33/h×14;Quara Hydromancer 41/h×14;Quara Hydromancer Scout 16/h×14;Quara Mantassin 52/h×14;Quara Mantassin Scout 52/h×14;Quara Pincher 38/h×14;Quara Pincher Scout 49/h×14;Quara Predator 16/h×14;Quara Predator Scout 38/h×14,
lavas with prey,0,0.0,1,,,Ravenous Lava Lurker
Ravenous Lava Lurker,0,0.0,2,,,Dromedary|Ravenous Lava Lurker
