spawn,profit_computed_h,coverage,n_sessions,measured_loot_h,valued,missing
Werehyena MS 290+,157602,1.0,1,666534,Werehyaena 637/h×156;Werehyaena Shaman 373/h×156,
BOOK WORLD,148257,1.0,1,594240,Bluebeak 413/h×173;Lion Hydra 444/h×173,
Gnomegate Lava Hot Spot,145814,1.0,1,585235,Dragon Lord 168/h×166;Massive Fire Elemental 283/h×166;Vulcongra 427/h×166,
Lycanthrope Grounds (Edron),118524,1.0,1,477892,Bloodback 4/h×138;Werebadger 276/h×138;Werebear 52/h×135;Wereboar 176/h×138;Werefox 352/h×138,
Glooth Tower,99571,1.0,1,1026130,Blood Beast 2/h×21;Devourer 266/h×21;Glooth Golem 341/h×118;Quara Constrictor Scout 7/h×21;Quara Hydromancer Scout 7/h×21;Quara Pincher Scout 5/h×21;Quara Predator Scout 5/h×21;Rot Elemental 187/h×21;Rustheap Golem 418/h×118,
Grim Reaper (Yalahar),76305,1.0,2,285174,Grim Reaper 505/h×151,
Behemoth (Cyclopolis),71788,1.0,1,287960,Behemoth 252/h×137;Cyclops 36/h×137;Cyclops Drone 120/h×137;Cyclops Smith 68/h×137;Dragon 12/h×137;Dwarf Soldier 36/h×137,
Hellspawn (Yalahar),67942,1.0,2,235279,Gozzler 9/h×169;Hellspawn 359/h×169;Plaguesmith 53/h×108,
Werehayena hunt,57587,1.0,1,231784,Werehyaena 241/h×156;Werehyaena Shaman 128/h×156,
STONFIN 0908,50696,1.0,1,207196,Bat 13/h×69;Corym Charlatan 9/h×69;Corym Skirmisher 5/h×69;Feverish Citizen 5/h×69;Marsh Stalker 5/h×69;Snake 5/h×41;Stonerefiner 681/h×69;Swampling 3/h×69;Tarantula 17/h×42,
Sea serpent (Svargrond),40492,1.0,1,163787,Sea Serpent 318/h×57;Young Sea Serpent 392/h×57,
Glooth Plains - Surface (Oramond),28825,1.0,1,306191,Blood Beast 157/h×21;Devourer 233/h×21;Glooth Blob 497/h×19;Rot Elemental 533/h×21,
