spawn,n_hunts,median_xp_h,max_xp_h,median_profit_h,max_profit_h,n_full_loot,min_lvl_seen,max_lvl_seen,sample_url
Quaras Podzilla,3,31351750,33741467,2374711,2531636,3,1086,1086,https://www.hunt-analyser.com/hunt_sessions/56517
Podzilla Quaras,5,23684524,26803598,2428654,2614291,5,901,912,https://www.hunt-analyser.com/hunt_sessions/56931
Teste 1 Quara Podizilla,1,22430557,22430557,1467950,1467950,1,957,957,https://www.hunt-analyser.com/hunt_sessions/56670
Teste 2 Quara Podizilla,1,13784361,13784361,1452054,1452054,1,958,958,https://www.hunt-analyser.com/hunt_sessions/56710
Weretiger -2,1,13236024,13236024,1437871,1437871,1,508,508,https://www.hunt-analyser.com/hunt_sessions/52653
Crypt Warrior,2,11173404,13899284,572984,681249,0,75,75,https://www.hunt-analyser.com/hunt_sessions/53845
Werelions -1,2,10650648,17464616,1074876,1642660,1,683,683,https://www.hunt-analyser.com/hunt_sessions/54319
GAZER SPECTRE +21% DMG BOUNTY,1,9713439,9713439,888391,888391,0,,,https://www.hunt-analyser.com/hunt_sessions/53149
Ripper Spectre,2,8538897,9691329,1565176,2082504,2,327,672,https://www.hunt-analyser.com/hunt_sessions/52068
Weretigers -1,1,7488382,7488382,1331313,1331313,1,674,674,https://www.hunt-analyser.com/hunt_sessions/52720
Burster Spectres,1,7030022,7030022,805934,805934,1,676,676,https://www.hunt-analyser.com/hunt_sessions/53031
Duo burried cathedral,1,6523629,6523629,1262110,1262110,1,250,250,https://www.hunt-analyser.com/hunt_sessions/51722
Grim Reaper (Yalahar),2,6327223,7256749,285174,297107,2,270,279,https://www.hunt-analyser.com/hunt_sessions/53745
Werelion -1 (post nerf),1,6109828,6109828,824888,824888,1,494,494,https://www.hunt-analyser.com/hunt_sessions/51711
BOOK WORLD,1,5647162,5647162,594240,594240,1,242,242,https://www.hunt-analyser.com/hunt_sessions/52064
Burster Spectre,1,3677400,3677400,446932,446932,1,575,575,https://www.hunt-analyser.com/hunt_sessions/53617
Glooth Tower,1,3387175,3387175,1026130,1026130,1,270,270,https://www.hunt-analyser.com/hunt_sessions/53639
Werehyena MS 290+,1,3331157,3331157,666534,666534,1,290,290,https://www.hunt-analyser.com/hunt_sessions/51793
Lycanthrope Grounds (Edron),1,2207516,2207516,477892,477892,1,271,271,https://www.hunt-analyser.com/hunt_sessions/53352
Gnomegate Lava Hot Spot,1,2131941,2131941,585235,585235,1,276,276,https://www.hunt-analyser.com/hunt_sessions/53711
Glooth Plains - Surface (Oramond),1,1974337,1974337,306191,306191,1,273,273,https://www.hunt-analyser.com/hunt_sessions/53434
Ravenous Lava Lurker #1,1,1887918,1887918,0,0,1,176,176,https://www.hunt-analyser.com/hunt_sessions/55180
Dark Fauns -2,1,1711696,1711696,399498,399498,1,169,169,https://www.hunt-analyser.com/hunt_sessions/52356
Cults Carlin,1,1684446,1684446,70037,70037,0,,,https://www.hunt-analyser.com/hunt_sessions/53070
Sea serpent (Svargrond),1,1684045,1684045,163787,163787,1,270,270,https://www.hunt-analyser.com/hunt_sessions/53327
Hellspawn (Yalahar),2,1677499,1683640,235279,293484,2,267,270,https://www.hunt-analyser.com/hunt_sessions/52736
Werehayena hunt,1,1487123,1487123,231784,231784,1,223,223,https://www.hunt-analyser.com/hunt_sessions/53077
Vampire Crypt (Edron),1,1376977,1376977,394573,394573,1,169,169,https://www.hunt-analyser.com/hunt_sessions/52059
Behemoth (Cyclopolis),1,1028212,1028212,287960,287960,1,262,262,https://www.hunt-analyser.com/hunt_sessions/52082
"Duo buried -2 ED, EK",1,668253,668253,1054200,1054200,1,248,248,https://www.hunt-analyser.com/hunt_sessions/51574
Yalahar Bog Raiders Central,1,629342,629342,75424,75424,1,94,94,https://www.hunt-analyser.com/hunt_sessions/53124
STONFIN 0908,1,521259,521259,207196,207196,1,229,229,https://www.hunt-analyser.com/hunt_sessions/53399
Port Hope Spider Cave,2,496385,616481,57963,63228,2,82,84,https://www.hunt-analyser.com/hunt_sessions/52667
Port Hope Water Elementals (South),1,371756,371756,39651,39651,1,88,88,https://www.hunt-analyser.com/hunt_sessions/52773
Liberty Bay Quara Grotto,1,365440,365440,66622,66622,1,90,90,https://www.hunt-analyser.com/hunt_sessions/52823
Edron Vampire Crypts,1,323414,323414,62528,62528,1,82,82,https://www.hunt-analyser.com/hunt_sessions/52560
Roothings -2 x4 Hunt,1,0,0,4214107,4214107,1,846,846,https://www.hunt-analyser.com/hunt_sessions/53032
