spawn,n_hunts,median_xp_h,max_xp_h,median_profit_h,max_profit_h,n_full_loot,min_lvl_seen,max_lvl_seen,sample_url
Grim Reaper (Yalahar),2,6327223,7256749,285174,297107,2,270,279,https://www.hunt-analyser.com/hunt_sessions/53745
BOOK WORLD,1,5647162,5647162,594240,594240,1,242,242,https://www.hunt-analyser.com/hunt_sessions/52064
Glooth Tower,1,3387175,3387175,1026130,1026130,1,270,270,https://www.hunt-analyser.com/hunt_sessions/53639
Lycanthrope Grounds (Edron),1,2207516,2207516,477892,477892,1,271,271,https://www.hunt-analyser.com/hunt_sessions/53352
Gnomegate Lava Hot Spot,1,2131941,2131941,585235,585235,1,276,276,https://www.hunt-analyser.com/hunt_sessions/53711
Glooth Plains - Surface (Oramond),1,1974337,1974337,306191,306191,1,273,273,https://www.hunt-analyser.com/hunt_sessions/53434
Sea serpent (Svargrond),1,1684045,1684045,163787,163787,1,270,270,https://www.hunt-analyser.com/hunt_sessions/53327
Hellspawn (Yalahar),2,1677499,1683640,235279,293484,2,267,270,https://www.hunt-analyser.com/hunt_sessions/52736
Werehayena hunt,1,1487123,1487123,231784,231784,1,223,223,https://www.hunt-analyser.com/hunt_sessions/53077
Behemoth (Cyclopolis),1,1028212,1028212,287960,287960,1,262,262,https://www.hunt-analyser.com/hunt_sessions/52082
STONFIN 0908,1,521259,521259,207196,207196,1,229,229,https://www.hunt-analyser.com/hunt_sessions/53399
